# ATLAS CONF-2012-018
# Atlas_H-WW-lnuqq_4.7fb-1
# Read in by OS
# 
# MH obs exp
300.000 4.706 4.209
310.000 3.221 3.495
320.000 1.755 2.774
330.000 1.674 2.418
340.000 1.592 2.113
350.000 1.577 1.899
360.000 1.564 1.781
370.000 1.703 1.756
380.000 1.846 1.735
390.000 2.023 1.684
400.000 2.199 1.637
410.000 2.343 1.630
420.000 2.488 1.608
430.000 2.654 1.666
440.000 2.817 1.707
450.000 2.863 1.782
460.000 2.910 1.839
470.000 2.935 1.939
480.000 2.961 2.069
490.000 3.009 2.232
500.000 3.058 2.388
510.000 3.332 2.555
520.000 3.609 2.721
530.000 4.165 2.907
540.000 4.722 3.114
550.000 5.279 3.343
560.000 5.836 3.536
570.000 6.696 3.764
580.000 7.557 4.025
590.000 8.497 4.377
600.000 9.437 4.745
