#  Hindmarsh-Philipsen equation of state A
#  rho=g*(pi^2/30)*T^4    s=gS*(2*pi^2/45)*T^3    p=gP*(pi^2/90)*T^4
#  T[GeV]          heff             geff  
 1.2589250e+04  1.0478871e+02     1.0479721e+02
 1.1885040e+04  1.0478321e+02     1.0479177e+02
 1.1220190e+04  1.0477766e+02     1.0478630e+02
 1.0592560e+04  1.0477208e+02     1.0478079e+02
 1.0000000e+04  1.0476645e+02     1.0477524e+02
 9.4406060e+03  1.0476078e+02     1.0476964e+02
 8.9125300e+03  1.0475506e+02     1.0476401e+02
 8.4139500e+03  1.0474930e+02     1.0475833e+02
 7.9432840e+03  1.0474349e+02     1.0475261e+02
 7.4989420e+03  1.0473763e+02     1.0474684e+02
 7.0794570e+03  1.0473172e+02     1.0474103e+02
 6.6834550e+03  1.0472575e+02     1.0473517e+02
 6.3095860e+03  1.0471974e+02     1.0472926e+02
 5.9566360e+03  1.0471366e+02     1.0472330e+02
 5.6234260e+03  1.0470753e+02     1.0471729e+02
 5.3088430e+03  1.0470133e+02     1.0471122e+02
 5.0118730e+03  1.0469507e+02     1.0470510e+02
 4.7315120e+03  1.0468873e+02     1.0469892e+02
 4.4668370e+03  1.0468233e+02     1.0469267e+02
 4.2169650e+03  1.0467585e+02     1.0468635e+02
 3.9810710e+03  1.0466928e+02     1.0467997e+02
 3.7583750e+03  1.0466263e+02     1.0467352e+02
 3.5481410e+03  1.0465589e+02     1.0466699e+02
 3.3496630e+03  1.0464905e+02     1.0466039e+02
 3.1622850e+03  1.0464211e+02     1.0465369e+02
 2.9853820e+03  1.0463505e+02     1.0464691e+02
 2.8183960e+03  1.0462787e+02     1.0464002e+02
 2.6607250e+03  1.0462056e+02     1.0463304e+02
 2.5118870e+03  1.0461311e+02     1.0462594e+02
 2.3713740e+03  1.0460550e+02     1.0461873e+02
 2.2387210e+03  1.0459773e+02     1.0461138e+02
 2.1134890e+03  1.0458978e+02     1.0460390e+02
 1.9952620e+03  1.0458163e+02     1.0459627e+02
 1.8836500e+03  1.0457327e+02     1.0458847e+02
 1.7782790e+03  1.0456467e+02     1.0458050e+02
 1.6788080e+03  1.0455581e+02     1.0457234e+02
 1.5848930e+03  1.0454667e+02     1.0456395e+02
 1.4962350e+03  1.0453722e+02     1.0455535e+02
 1.4125380e+03  1.0452742e+02     1.0454649e+02
 1.3335210e+03  1.0451725e+02     1.0453735e+02
 1.2589290e+03  1.0450666e+02     1.0452788e+02
 1.1885020e+03  1.0449560e+02     1.0451809e+02
 1.1220180e+03  1.0448402e+02     1.0450794e+02
 1.0592540e+03  1.0447189e+02     1.0449733e+02
 1.0000000e+03  1.0445914e+02     1.0448631e+02
 9.4406070e+02  1.0444569e+02     1.0447479e+02
 8.9125300e+02  1.0443143e+02     1.0446270e+02
 8.4139690e+02  1.0441635e+02     1.0445010e+02
 7.9432840e+02  1.0440024e+02     1.0443671e+02
 7.4989420e+02  1.0438318e+02     1.0442255e+02
 7.0794560e+02  1.0436491e+02     1.0440776e+02
 6.6834400e+02  1.0434533e+02     1.0439188e+02
 6.3095730e+02  1.0432431e+02     1.0437489e+02
 5.9566230e+02  1.0430177e+02     1.0435674e+02
 5.6234130e+02  1.0427738e+02     1.0433725e+02
 5.3088430e+02  1.0425116e+02     1.0431627e+02
 5.0118730e+02  1.0422254e+02     1.0429365e+02
 4.7315230e+02  1.0419143e+02     1.0426917e+02
 4.4668470e+02  1.0415759e+02     1.0424264e+02
 4.2169650e+02  1.0412066e+02     1.0421384e+02
 3.9810710e+02  1.0408032e+02     1.0418240e+02
 3.7583910e+02  1.0403620e+02     1.0414806e+02
 3.5481340e+02  1.0398794e+02     1.0411049e+02
 3.3496550e+02  1.0393496e+02     1.0406868e+02
 3.1622780e+02  1.0387681e+02     1.0402399e+02
 2.9853820e+02  1.0381292e+02     1.0397419e+02
 2.8183830e+02  1.0373938e+02     1.0391927e+02
 2.6607250e+02  1.0366170e+02     1.0385693e+02
 2.5118870e+02  1.0357982e+02     1.0379177e+02
 2.3713740e+02  1.0348689e+02     1.0371773e+02
 2.2387270e+02  1.0338397e+02     1.0363581e+02
 2.1134890e+02  1.0327063e+02     1.0354508e+02
 1.9952620e+02  1.0314413e+02     1.0344461e+02
 1.8836580e+02  1.0300882e+02     1.0333330e+02
 1.7782790e+02  1.0285810e+02     1.0321000e+02
 1.6788040e+02  1.0269262e+02     1.0307349e+02
 1.5848930e+02  1.0251107e+02     1.0292241e+02
 1.4962360e+02  1.0231214e+02     1.0275537e+02
 1.4125380e+02  1.0209453e+02     1.0257085e+02
 1.3335210e+02  1.0185684e+02     1.0236727e+02
 1.2589250e+02  1.0159780e+02     1.0214308e+02
 1.1885050e+02  1.0131599e+02     1.0189666e+02
 1.1220210e+02  1.0101015e+02     1.0162639e+02
 1.0592540e+02  1.0067918e+02     1.0133074e+02
 1.0000000e+02  1.0032202e+02     1.0100827e+02
 9.4406090e+01  9.9937906e+01     1.0065769e+02
 8.9125110e+01  9.9526233e+01     1.0027790e+02
 8.4139500e+01  9.9086726e+01     9.9868087e+01
 7.9432820e+01  9.8619459e+01     9.9427780e+01
 7.4989420e+01  9.8124890e+01     9.8956899e+01
 7.0794580e+01  9.7603928e+01     9.8455842e+01
 6.6834400e+01  9.7057946e+01     9.7925514e+01
 6.3095730e+01  9.6488813e+01     9.7367385e+01
 5.9566360e+01  9.5898932e+01     9.6783540e+01
 5.6234130e+01  9.5291082e+01     9.6176543e+01
 5.3088450e+01  9.4668656e+01     9.5549686e+01
 5.0118730e+01  9.4035335e+01     9.4906670e+01
 4.7315120e+01  9.3395146e+01     9.4251671e+01
 4.4668360e+01  9.2752344e+01     9.3589213e+01
 4.2169650e+01  9.2111286e+01     9.2924035e+01
 3.9810720e+01  9.1476318e+01     9.2260961e+01
 3.7583740e+01  9.0851603e+01     9.1604729e+01
 3.5481330e+01  9.0241225e+01     9.0959967e+01
 3.3496540e+01  8.9648687e+01     9.0330791e+01
 3.1622780e+01  8.9077198e+01     8.9721102e+01
 2.9853890e+01  8.8529419e+01     8.9134107e+01
 2.8183830e+01  8.8007431e+01     8.8572424e+01
 2.6607250e+01  8.7512904e+01     8.8038265e+01
 2.5118860e+01  8.7046944e+01     8.7533000e+01
 2.3713740e+01  8.6610240e+01     8.7057858e+01
 2.2387210e+01  8.6203079e+01     8.6613380e+01
 2.1134890e+01  8.5825413e+01     8.6199853e+01
 1.9952620e+01  8.5477055e+01     8.5817223e+01
 1.8836490e+01  8.5157508e+01     8.5465383e+01
 1.7782790e+01  8.4866035e+01     8.5143765e+01
 1.6788040e+01  8.4601895e+01     8.4851966e+01
 1.5848930e+01  8.4363970e+01     8.4589121e+01
 1.4962350e+01  8.4151082e+01     8.4354042e+01
 1.4125410e+01  8.3961694e+01     8.4145610e+01
 1.3335210e+01  8.3794056e+01     8.3962056e+01
 1.2589250e+01  8.3646065e+01     8.3801518e+01
 1.1885020e+01  8.3515636e+01     8.3661816e+01
 1.1220180e+01  8.3400090e+01     8.3540274e+01
 1.0592540e+01  8.3297182e+01     8.3434317e+01
 1.0000000e+01  8.3210775e+01     8.3350215e+01
 8.9125090e+00  8.3044588e+01     8.3191996e+01
 7.9432870e+00  8.2888599e+01     8.3053100e+01
 7.0794640e+00  8.2727034e+01     8.2916165e+01
 6.3095760e+00  8.2547475e+01     8.2767907e+01
 5.6234130e+00  8.2340199e+01     8.2597990e+01
 5.0118720e+00  8.2096706e+01     8.2398110e+01
 4.4668390e+00  8.1809017e+01     8.2160404e+01
 3.9810720e+00  8.1468619e+01     8.1876195e+01
 3.5481360e+00  8.1066226e+01     8.1536005e+01
