# * Hindmarsh-Philipsen equation of state B2
#   T[GeV]           heff          geff
 1.2589250e+04    1.0466746e+02    1.046781E+02
 1.1885040e+04    1.0466040e+02    1.046712E+02
 1.1220190e+04    1.0465328e+02    1.046642E+02
 1.0592560e+04    1.0464609e+02    1.046571E+02
 1.0000000e+04    1.0463883e+02    1.046500E+02
 9.4406060e+03    1.0463150e+02    1.046428E+02
 8.9125300e+03    1.0462410e+02    1.046355E+02
 8.4139500e+03    1.0461662e+02    1.046282E+02
 7.9432840e+03    1.0460906e+02    1.046207E+02
 7.4989420e+03    1.0460143e+02    1.046132E+02
 7.0794570e+03    1.0459371e+02    1.046057E+02
 6.6834550e+03    1.0458590e+02    1.045980E+02
 6.3095860e+03    1.0457801e+02    1.045903E+02
 5.9566360e+03    1.0457003e+02    1.045825E+02
 5.6234260e+03    1.0456195e+02    1.045746E+02
 5.3088430e+03    1.0455378e+02    1.045666E+02
 5.0118730e+03    1.0454550e+02    1.045585E+02
 4.7315120e+03    1.0453712e+02    1.045503E+02
 4.4668370e+03    1.0452863e+02    1.045421E+02
 4.2169650e+03    1.0452002e+02    1.045337E+02
 3.9810710e+03    1.0451129e+02    1.045252E+02
 3.7583750e+03    1.0450244e+02    1.045166E+02
 3.5481410e+03    1.0449345e+02    1.045079E+02
 3.3496630e+03    1.0448432e+02    1.044991E+02
 3.1622850e+03    1.0447504e+02    1.044901E+02
 2.9853820e+03    1.0446561e+02    1.044811E+02
 2.8183960e+03    1.0445601e+02    1.044718E+02
 2.6607250e+03    1.0444623e+02    1.044625E+02
 2.5118870e+03    1.0443627e+02    1.044529E+02
 2.3713740e+03    1.0442610e+02    1.044432E+02
 2.2387210e+03    1.0441572e+02    1.044334E+02
 2.1134890e+03    1.0440510e+02    1.044233E+02
 1.9952620e+03    1.0439424e+02    1.044131E+02
 1.8836500e+03    1.0438311e+02    1.044026E+02
 1.7782790e+03    1.0437169e+02    1.043919E+02
 1.6788080e+03    1.0435995e+02    1.043810E+02
 1.5848930e+03    1.0434787e+02    1.043698E+02
 1.4962350e+03    1.0433543e+02    1.043583E+02
 1.4125380e+03    1.0432258e+02    1.043465E+02
 1.3335210e+03    1.0430929e+02    1.043344E+02
 1.2589290e+03    1.0429552e+02    1.043219E+02
 1.1885020e+03    1.0428122e+02    1.043090E+02
 1.1220180e+03    1.0426634e+02    1.042957E+02
 1.0592540e+03    1.0425084e+02    1.042819E+02
 1.0000000e+03    1.0423464e+02    1.042676E+02
 9.4406070e+02    1.0421767e+02    1.042527E+02
 8.9125300e+02    1.0419983e+02    1.042372E+02
 8.4139690e+02    1.0418109e+02    1.042210E+02
 7.9432840e+02    1.0416124e+02    1.042040E+02
 7.4989420e+02    1.0414037e+02    1.041862E+02
 7.0794560e+02    1.0411820e+02    1.041675E+02
 6.6834400e+02    1.0409465e+02    1.041477E+02
 6.3095730e+02    1.0406957e+02    1.041269E+02
 5.9566230e+02    1.0404288e+02    1.041048E+02
 5.6234130e+02    1.0401427e+02    1.040815E+02
 5.3088430e+02    1.0398374e+02    1.040566E+02
 5.0118730e+02    1.0395071e+02    1.040299E+02
 4.7315230e+02    1.0391509e+02    1.040012E+02
