#   Hindmarsh-Philipsen equation of state B3
#   T[GeV]          heff         geff
 1.2589250e+04    1.0490951e+02     1.049154E+02
 1.1885040e+04    1.0490555e+02     1.049114E+02
 1.1220190e+04    1.0490158e+02     1.049075E+02
 1.0592560e+04    1.0489759e+02     1.049035E+02
 1.0000000e+04    1.0489358e+02     1.048996E+02
 9.4406060e+03    1.0488956e+02     1.048956E+02
 8.9125300e+03    1.0488553e+02     1.048916E+02
 8.4139500e+03    1.0488147e+02     1.048875E+02
 7.9432840e+03    1.0487740e+02     1.048835E+02
 7.4989420e+03    1.0487332e+02     1.048795E+02
 7.0794570e+03    1.0486921e+02     1.048754E+02
 6.6834550e+03    1.0486508e+02     1.048713E+02
 6.3095860e+03    1.0486093e+02     1.048672E+02
 5.9566360e+03    1.0485675e+02     1.048631E+02
 5.6234260e+03    1.0485255e+02     1.048590E+02
 5.3088430e+03    1.0484832e+02     1.048548E+02
 5.0118730e+03    1.0484407e+02     1.048507E+02
 4.7315120e+03    1.0483978e+02     1.048465E+02
 4.4668370e+03    1.0483545e+02     1.048422E+02
 4.2169650e+03    1.0483108e+02     1.048380E+02
 3.9810710e+03    1.0482668e+02     1.048337E+02
 3.7583750e+03    1.0482223e+02     1.048294E+02
 3.5481410e+03    1.0481772e+02     1.048250E+02
 3.3496630e+03    1.0481316e+02     1.048206E+02
 3.1622850e+03    1.0480854e+02     1.048162E+02
 2.9853820e+03    1.0480385e+02     1.048117E+02
 2.8183960e+03    1.0479908e+02     1.048071E+02
 2.6607250e+03    1.0479423e+02     1.048025E+02
 2.5118870e+03    1.0478928e+02     1.047979E+02
 2.3713740e+03    1.0478423e+02     1.047931E+02
 2.2387210e+03    1.0477906e+02     1.047883E+02
 2.1134890e+03    1.0477376e+02     1.047834E+02
 1.9952620e+03    1.0476832e+02     1.047784E+02
 1.8836500e+03    1.0476271e+02     1.047733E+02
 1.7782790e+03    1.0475692e+02     1.047681E+02
 1.6788080e+03    1.0475093e+02     1.047627E+02
 1.5848930e+03    1.0474471e+02     1.047572E+02
 1.4962350e+03    1.0473824e+02     1.047515E+02
 1.4125380e+03    1.0473149e+02     1.047456E+02
 1.3335210e+03    1.0472442e+02     1.047395E+02
 1.2589290e+03    1.0471699e+02     1.047331E+02
 1.1885020e+03    1.0470917e+02     1.047265E+02
 1.1220180e+03    1.0470089e+02     1.047196E+02
 1.0592540e+03    1.0469212e+02     1.047123E+02
 1.0000000e+03    1.0468279e+02     1.047046E+02
 9.4406070e+02    1.0467285e+02     1.046965E+02
 8.9125300e+02    1.0466216e+02     1.046880E+02
 8.4139690e+02    1.0465073e+02     1.046788E+02
 7.9432840e+02    1.0463835e+02     1.046690E+02
 7.4989420e+02    1.0462509e+02     1.046586E+02
 7.0794560e+02    1.0461069e+02     1.046474E+02
 6.6834400e+02    1.0459507e+02     1.046353E+02
 6.3095730e+02    1.0457809e+02     1.046223E+02
 5.9566230e+02    1.0455967e+02     1.046083E+02
 5.6234130e+02    1.0453950e+02     1.045931E+02
 5.3088430e+02    1.0451758e+02     1.045765E+02
 5.0118730e+02    1.0449335e+02     1.045583E+02
 4.7315230e+02    1.0446672e+02     1.045384E+02
 4.4668470e+02    1.0443745e+02     1.045164E+02
 4.2169650e+02    1.0440519e+02     1.044923E+02
 3.9810710e+02    1.0436962e+02     1.044656E+02
 3.7583910e+02    1.0433036e+02     1.044362E+02
 3.5481340e+02    1.0428706e+02     1.044038E+02
 3.3496550e+02    1.0423914e+02     1.043677E+02
 3.1622780e+02    1.0418615e+02     1.043279E+02
 2.9853820e+02    1.0412752e+02     1.042822E+02
 2.8183830e+02    1.0405934e+02     1.042299E+02
 2.6607250e+02    1.0398713e+02     1.041747E+02
 2.5118870e+02    1.0391084e+02     1.041158E+02
 2.3713740e+02    1.0382359e+02     1.040489E+02
 2.2387270e+02    1.0372645e+02     1.039731E+02
 2.1134890e+02    1.0361900e+02     1.038877E+02
 1.9952620e+02    1.0349847e+02     1.037926E+02
 1.8836580e+02    1.0336925e+02     1.036883E+02
 1.7782790e+02    1.0322471e+02     1.035718E+02
 1.6788040e+02    1.0306551e+02     1.034416E+02
 1.5848930e+02    1.0289032e+02     1.032970E+02
 1.4962360e+02    1.0269785e+02     1.031363E+02
 1.4125380e+02    1.0248678e+02     1.029583E+02
 1.3335210e+02    1.0225572e+02     1.027613E+02
 1.2589250e+02    1.0200338e+02     1.025437E+02
 1.1885050e+02    1.0172835e+02     1.023039E+02
 1.1220210e+02    1.0142935e+02     1.020402E+02
 1.0592540e+02    1.0110529e+02     1.017511E+02
 1.0000000e+02    1.0075511e+02     1.014351E+02
 9.4406090e+01    1.0037802e+02     1.010910E+02
 8.9125110e+01    9.9973434e+01     1.007177E+02
 8.4139500e+01    9.9541076e+01     1.003143E+02
 7.9432820e+01    9.9081021e+01     9.988033E+01
 7.4989420e+01    9.8593732e+01     9.941580E+01
 7.0794580e+01    9.8080126e+01     9.892110E+01
 6.6834400e+01    9.7541590e+01     9.839716E+01
 6.3095730e+01    9.6980007e+01     9.784549E+01
 5.9566360e+01    9.6397801e+01     9.726819E+01
 5.6234130e+01    9.5797777e+01     9.666789E+01
 5.3088450e+01    9.5183355e+01     9.604791E+01
 5.0118730e+01    9.4558250e+01     9.541202E+01
 4.7315120e+01    9.3926526e+01     9.476442E+01
 4.4668360e+01    9.3292477e+01     9.410971E+01
 4.2169650e+01    9.2660502e+01     9.345265E+01
 3.9810720e+01    9.2034992e+01     9.279810E+01
 3.7583740e+01    9.1420149e+01     9.215087E+01
 3.5481330e+01    9.0820102e+01     9.151558E+01
 3.3496540e+01    9.0238391e+01     9.089648E+01
 3.1622780e+01    8.9678263e+01     9.029735E+01
 2.9853890e+01    8.9142406e+01     8.972150E+01
 2.8183830e+01    8.8632929e+01     8.917155E+01
 2.6607250e+01    8.8151521e+01     8.864967E+01
 2.5118860e+01    8.7699303e+01     8.815742E+01
 2.3713740e+01    8.7276972e+01     8.769587E+01
 2.2387210e+01    8.6884822e+01     8.726560E+01
 2.1134890e+01    8.6522805e+01     8.686693E+01
 1.9952620e+01    8.6190736e+01     8.649989E+01
 1.8836490e+01    8.5888118e+01     8.616424E+01
 1.7782790e+01    8.5614214e+01     8.585955E+01
 1.6788040e+01    8.5368287e+01     8.558527E+01
 1.5848930e+01    8.5149225e+01     8.534058E+01
 1.4962350e+01    8.4955857e+01     8.512447E+01
 1.4125410e+01    8.4786659e+01     8.493565E+01
 1.3335210e+01    8.4639900e+01     8.477244E+01
 1.2589250e+01    8.4513491e+01     8.463297E+01
 1.1885020e+01    8.4405372e+01     8.451500E+01
 1.1220180e+01    8.4312886e+01     8.441609E+01
 1.0592540e+01    8.4233817e+01     8.433368E+01
 1.0000000e+01    8.4165315e+01     8.426482E+01
 8.9125090e+00    8.4050377e+01     8.415585E+01
 7.9432870e+00    8.3949169e+01     8.406879E+01
 7.0794640e+00    8.3846172e+01     8.398734E+01
 6.3095760e+00    8.3729232e+01     8.389848E+01
 5.6234130e+00    8.3588900e+01     8.379222E+01
 5.0118720e+00    8.3416946e+01     8.366019E+01
 4.4668390e+00    8.3205657e+01     8.349444E+01
 3.9810720e+00    8.2946782e+01     8.328628E+01
 3.5481360e+00    8.2631272e+01     8.302602E+01
 3.1622780e+00    8.2249751e+01     8.270205E+01
 2.8183830e+00    8.1791290e+01     8.230165E+01
 2.5118880e+00    8.1248354e+01     8.181757E+01
 2.3713770e+00    8.0942890e+01     8.154268E+01
 2.2387220e+00    8.0613585e+01     8.124378E+01
 2.1134890e+00    8.0259978e+01     8.091942E+01
 1.9952630e+00    7.9881854e+01     8.056722E+01
 1.8836500e+00    7.9475752e+01     8.018880E+01
 1.7782790e+00    7.9052672e+01     7.978676E+01
 1.6788060e+00    7.8602817e+01     7.935838E+01
 1.5848930e+00    7.8130858e+01     7.890386E+01
 1.4962360e+00    7.7638232e+01     7.842569E+01
 1.4125380e+00    7.7126851e+01     7.792557E+01
 1.3335210e+00    7.6598891e+01     7.740569E+01
 1.2589270e+00    7.6056770e+01     7.686856E+01
 1.1885020e+00    7.5503056e+01     7.631688E+01
 1.1220190e+00    7.4940497e+01     7.575362E+01
 1.0592540e+00    7.4371661e+01     7.518161E+01
 1.0000000e+00    7.3799060e+01     7.460363E+01
 9.4406170e-01    7.3224988e+01     7.402220E+01
 8.9125100e-01    7.2651283e+01     7.343932E+01
 8.4139550e-01    7.2079361e+01     7.285643E+01
 7.9432840e-01    7.1510122e+01     7.227605E+01
 7.4989420e-01    7.0943996e+01     7.163029E+01
 7.0794590e-01    7.0337862e+01     7.148646E+01
 6.6834440e-01    7.0941985e+01     7.176335E+01
 6.3095770e-01    7.0289959e+01     7.150195E+01
 5.9566230e-01    6.9620068e+01     7.086449E+01
 5.6234130e-01    6.8935513e+01     7.024276E+01
 5.3088460e-01    6.8231940e+01     6.960941E+01
 5.0118720e-01    6.7499844e+01     6.895491E+01
 4.7315170e-01    6.6730769e+01     6.827082E+01
 4.4668370e-01    6.5920899e+01     6.755266E+01
 4.2169650e-01    6.5066576e+01     6.679419E+01
 3.9810730e-01    6.4156910e+01     6.598633E+01
 3.7583740e-01    6.3189309e+01     6.512911E+01
 3.5481350e-01    6.2175393e+01     6.424020E+01
 3.3496570e-01    6.1135779e+01     6.334675E+01
 3.1622790e-01    6.0080375e+01     6.245811E+01
 2.9853830e-01    5.8982680e+01     6.155303E+01
 2.8183830e-01    5.7812913e+01     6.059968E+01
 2.6607250e-01    5.6547736e+01     5.957020E+01
 2.5118870e-01    5.5165799e+01     5.844318E+01
 2.3713760e-01    5.3657867e+01     5.721690E+01
 2.2387220e-01    5.2040240e+01     5.591107E+01
 2.1134890e-01    5.0320901e+01     5.453502E+01
 1.9952620e-01    4.8475694e+01     5.308980E+01
 1.8836490e-01    4.6500564e+01     5.151934E+01
 1.7782790e-01    4.4177911e+01     4.945351E+01
 1.6788060e-01    4.0766128e+01     4.549592E+01
 1.5848930e-01    3.4187185e+01     3.631480E+01
 1.4962360e-01    2.2449517e+01     2.610072E+01
 1.4125380e-01    2.1049566e+01     2.180288E+01
 1.3335210e-01    1.9951667e+01     2.071753E+01
 1.2589250e-01    1.9085144e+01     1.971764E+01
 1.1885020e-01    1.8397876e+01     1.892982E+01
 1.1220180e-01    1.7845716e+01     1.830350E+01
 1.0592530e-01    1.7395571e+01     1.779941E+01
 1.0000000e-01    1.7022292e+01     1.738713E+01
 9.4406090e-02    1.6704752e+01     1.704262E+01
 8.9125100e-02    1.6428269e+01     1.674805E+01
 8.4139500e-02    1.6181649e+01     1.648967E+01
 7.9432820e-02    1.5954944e+01     1.625667E+01
 7.4989420e-02    1.5742416e+01     1.604101E+01
 7.0794580e-02    1.5537868e+01     1.583603E+01
 6.6834400e-02    1.5337374e+01     1.563651E+01
 6.3095730e-02    1.5137692e+01     1.543862E+01
 5.9566210e-02    1.4936817e+01     1.523952E+01
 5.6234130e-02    1.4733085e+01     1.503714E+01
 5.3088450e-02    1.4525633e+01     1.483000E+01
 5.0118730e-02    1.4313861e+01     1.461720E+01
 4.7315120e-02    1.4097951e+01     1.439852E+01
 4.4668360e-02    1.3878373e+01     1.417419E+01
 4.2169650e-02    1.3655981e+01     1.394486E+01
 3.9810720e-02    1.3431961e+01     1.371168E+01
 3.5481330e-02    1.2985310e+01     1.324059E+01
 3.1622770e-02    1.2552621e+01     1.277692E+01
