#  Gondolo-Gelmini TQCD=150 MeV
#   T[GeV]       heff         geff 
 0.000000E+00 3.913901E+00 3.367225E+00
 1.995263E-05 3.913901E+00 3.367225E+00
 2.238721E-05 3.913901E+00 3.367225E+00
 2.511887E-05 3.913901E+00 3.367218E+00
 2.818382E-05 3.913929E+00 3.367236E+00
 3.162278E-05 3.914058E+00 3.367327E+00
 3.548135E-05 3.914598E+00 3.367789E+00
 3.981071E-05 3.916468E+00 3.369577E+00
 4.466837E-05 3.921912E+00 3.375140E+00
 5.011870E-05 3.935492E+00 3.389567E+00
 5.623413E-05 3.965008E+00 3.421631E+00
 6.309577E-05 4.021753E+00 3.483974E+00
 7.079457E-05 4.119564E+00 3.591811E+00
 7.943284E-05 4.272558E+00 3.760308E+00
 8.912505E-05 4.492088E+00 4.001273E+00
 1.000000E-04 4.783859E+00 4.320329E+00
 1.122018E-04 5.146163E+00 4.715282E+00
 1.258925E-04 5.569750E+00 5.176142E+00
 1.412538E-04 6.039272E+00 5.686519E+00
 1.584893E-04 6.535744E+00 6.226007E+00
 1.778279E-04 7.039310E+00 6.773069E+00
 1.995262E-04 7.531672E+00 7.307678E+00
 2.238721E-04 7.997792E+00 7.813248E+00
 2.511887E-04 8.426746E+00 8.277698E+00
 2.818383E-04 8.811836E+00 8.693623E+00
 3.162278E-04 9.150148E+00 9.057871E+00
 3.548134E-04 9.441833E+00 9.370780E+00
 3.981071E-04 9.689258E+00 9.635148E+00
 4.466837E-04 9.896221E+00 9.855387E+00
 5.011873E-04 1.006728E+01 1.003668E+01
 5.623413E-04 1.020723E+01 1.018442E+01
 6.309572E-04 1.032076E+01 1.030384E+01
 7.079456E-04 1.041219E+01 1.039973E+01
 7.943284E-04 1.048540E+01 1.047631E+01
 8.912510E-04 1.054374E+01 1.053723E+01
 1.000000E-03 1.059005E+01 1.058552E+01
 1.122018E-03 1.062671E+01 1.062375E+01
 1.258925E-03 1.065565E+01 1.065393E+01
 1.412538E-03 1.067848E+01 1.067777E+01
 1.584893E-03 1.069646E+01 1.069656E+01
 1.778279E-03 1.071061E+01 1.071139E+01
 1.995262E-03 1.072175E+01 1.072377E+01
 2.238721E-03 1.072843E+01 1.072940E+01
 2.511887E-03 1.073366E+01 1.073450E+01
 2.818383E-03 1.073778E+01 1.073856E+01
 3.162278E-03 1.074102E+01 1.074179E+01
 3.548133E-03 1.074349E+01 1.074439E+01
 3.981071E-03 1.074485E+01 1.074530E+01
 4.466837E-03 1.074592E+01 1.074623E+01
 5.011873E-03 1.074677E+01 1.074698E+01
 5.623413E-03 1.074745E+01 1.074758E+01
 6.309573E-03 1.074802E+01 1.074810E+01
 7.079456E-03 1.074864E+01 1.074872E+01
 7.943284E-03 1.074970E+01 1.074988E+01
 8.912510E-03 1.075221E+01 1.075290E+01
 1.000000E-02 1.075835E+01 1.076063E+01
 1.122018E-02 1.077219E+01 1.077828E+01
 1.258925E-02 1.080026E+01 1.081406E+01
 1.412538E-02 1.085160E+01 1.087889E+01
 1.584893E-02 1.093706E+01 1.098526E+01
 1.778279E-02 1.106772E+01 1.114492E+01
 1.995262E-02 1.125281E+01 1.136628E+01
 2.238721E-02 1.149768E+01 1.165239E+01
 2.511886E-02 1.180232E+01 1.199964E+01
 2.818383E-02 1.216109E+01 1.239839E+01
 3.162277E-02 1.256335E+01 1.283427E+01
 3.548133E-02 1.299518E+01 1.329059E+01
 3.981072E-02 1.344137E+01 1.374819E+01
 4.216965E-02 1.366530E+01 1.396834E+01
 4.466836E-02 1.388766E+01 1.419010E+01
 4.731512E-02 1.410713E+01 1.440705E+01
 5.011873E-02 1.432270E+01 1.461849E+01
 5.308845E-02 1.453367E+01 1.482420E+01
 5.623413E-02 1.473976E+01 1.502435E+01
 5.956621E-02 1.494107E+01 1.521957E+01
 6.309573E-02 1.513825E+01 1.541116E+01
 6.683440E-02 1.533249E+01 1.560106E+01
 7.079458E-02 1.552560E+01 1.579186E+01
 7.498942E-02 1.572017E+01 1.598717E+01
 7.943282E-02 1.591970E+01 1.619160E+01
 8.413950E-02 1.612879E+01 1.641115E+01
 8.912510E-02 1.635327E+01 1.665328E+01
 9.440609E-02 1.660066E+01 1.692756E+01
 1.000000E-01 1.688039E+01 1.718504E+01
 1.059253E-01 1.741327E+01 1.775723E+01
 1.122018E-01 1.810428E+01 1.844740E+01
 1.188502E-01 1.899272E+01 1.933393E+01
 1.258925E-01 2.012656E+01 2.046477E+01
 1.333521E-01 2.156431E+01 2.189815E+01
 1.412538E-01 2.337721E+01 2.370520E+01
 1.496236E-01 2.565178E+01 2.597199E+01
 1.584893E-01 2.849292E+01 2.822451E+01
 1.678806E-01 3.122481E+01 2.942056E+01
 1.778279E-01 3.395672E+01 3.163607E+01
 1.883649E-01 3.668862E+01 3.448632E+01
 1.995262E-01 3.942051E+01 3.785197E+01
 2.113489E-01 4.215242E+01 4.151535E+01
 2.238722E-01 4.488432E+01 4.535376E+01
 2.371376E-01 4.750716E+01 4.805839E+01
 2.511887E-01 4.991958E+01 5.047457E+01
 2.660725E-01 5.213294E+01 5.269122E+01
 2.818383E-01 5.415858E+01 5.471990E+01
 2.985383E-01 5.600782E+01 5.657186E+01
 3.162279E-01 5.769200E+01 5.825865E+01
 3.349657E-01 5.922248E+01 5.979151E+01
 3.548135E-01 6.061057E+01 6.118204E+01
 3.758374E-01 6.186764E+01 6.244132E+01
 3.981073E-01 6.300500E+01 6.358083E+01
 4.216965E-01 6.403400E+01 6.461203E+01
 4.466837E-01 6.496600E+01 6.554612E+01
 4.731517E-01 6.581230E+01 6.639465E+01
 5.011872E-01 6.658426E+01 6.715968E+01
 5.308846E-01 6.732282E+01 6.789389E+01
 5.623413E-01 6.806139E+01 6.877587E+01
 5.956623E-01 6.879996E+01 6.965665E+01
 6.309577E-01 6.953853E+01 7.053628E+01
 6.683444E-01 7.027709E+01 7.141475E+01
 7.079459E-01 7.101566E+01 7.229223E+01
 7.498942E-01 7.175423E+01 7.316815E+01
 7.943284E-01 7.249279E+01 7.352832E+01
 8.413955E-01 7.313354E+01 7.377778E+01
 8.912510E-01 7.377430E+01 7.460223E+01
 9.440617E-01 7.441505E+01 7.542669E+01
 1.000000E+00 7.505580E+01 7.625128E+01
 1.059254E+00 7.569655E+01 7.707570E+01
 1.122019E+00 7.633730E+01 7.790013E+01
 1.188502E+00 7.697805E+01 7.872439E+01
 1.258927E+00 7.761880E+01 7.892881E+01
 1.333521E+00 7.814334E+01 7.876389E+01
 1.412538E+00 7.865519E+01 7.933792E+01
 1.496236E+00 7.915172E+01 7.984154E+01
 1.584893E+00 7.963050E+01 8.031853E+01
 1.678806E+00 8.011654E+01 8.079233E+01
 1.778279E+00 8.058380E+01 8.123655E+01
 1.883650E+00 8.103062E+01 8.165764E+01
 1.995263E+00 8.145566E+01 8.205481E+01
 2.113489E+00 8.185794E+01 8.242770E+01
 2.238722E+00 8.223686E+01 8.277595E+01
 2.371377E+00 8.259212E+01 8.309964E+01
 2.511888E+00 8.292373E+01 8.354284E+01
 2.818383E+00 8.351736E+01 8.396172E+01
 3.162278E+00 8.402262E+01 8.440275E+01
 3.548136E+00 8.444685E+01 8.476697E+01
 3.981072E+00 8.479884E+01 8.506459E+01
 4.466839E+00 8.508793E+01 8.530575E+01
 5.011872E+00 8.532336E+01 8.549961E+01
 5.623413E+00 8.551401E+01 8.565506E+01
 6.309576E+00 8.566853E+01 8.578082E+01
 7.079464E+00 8.579624E+01 8.588603E+01
 7.943287E+00 8.590873E+01 8.598339E+01
 8.912509E+00 8.602214E+01 8.609160E+01
 1.000000E+01 8.615943E+01 8.622912E+01
 1.059254E+01 8.624631E+01 8.635123E+01
 1.122018E+01 8.635121E+01 8.647744E+01
 1.188502E+01 8.647890E+01 8.663260E+01
 1.258925E+01 8.663428E+01 8.682185E+01
 1.333521E+01 8.682215E+01 8.704974E+01
 1.412541E+01 8.704693E+01 8.732085E+01
 1.496235E+01 8.731254E+01 8.763805E+01
 1.584893E+01 8.762205E+01 8.800354E+01
 1.678804E+01 8.797759E+01 8.841866E+01
 1.778279E+01 8.838014E+01 8.888264E+01
 1.883649E+01 8.882948E+01 8.939407E+01
 1.995262E+01 8.932413E+01 8.994965E+01
 2.113489E+01 8.986143E+01 9.054521E+01
 2.238721E+01 9.043764E+01 9.117585E+01
 2.371374E+01 9.104810E+01 9.183541E+01
 2.511886E+01 9.168737E+01 9.251736E+01
 2.660725E+01 9.234950E+01 9.321467E+01
 2.818383E+01 9.302818E+01 9.392099E+01
 2.985389E+01 9.371706E+01 9.462940E+01
 3.162278E+01 9.440984E+01 9.533342E+01
 3.349654E+01 9.510049E+01 9.602710E+01
 3.548133E+01 9.578335E+01 9.670544E+01
 3.758374E+01 9.645334E+01 9.736389E+01
 3.981072E+01 9.710596E+01 9.799843E+01
 4.216965E+01 9.773735E+01 9.860606E+01
 4.466836E+01 9.834435E+01 9.918446E+01
 4.731512E+01 9.892439E+01 9.973171E+01
 5.011873E+01 9.947560E+01 1.002470E+02
