   mDM     x      b             tau           c             q             t             Z            W
   10.     0.01   0.915029      1.04509       0.290763      0.000720801   0             0            0
   10.     0.02   0.902324      1.04948       0.27895       0.00065801    0             0            0
   10.     0.03   0.88948       1.05328       0.267622      0.000596894   0             0            0
   10.     0.04   0.874936      1.06004       0.255615      0.000534922   0             0            0
   10.     0.05   0.861198      1.06408       0.244785      0.000476116   0             0            0
   10.     0.06   0.839782      1.06344       0.234273      0.000423471   0             0            0
   10.     0.07   0.802198      1.05999       0.223663      0.000376478   0             0            0
   10.     0.08   0.756722      1.05647       0.213107      0.000331714   0             0            0
   10.     0.09   0.708573      1.05332       0.202426      0.000289354   0             0            0
   10.     0.1    0.664721      1.03938       0.19447       0.000253783   0             0            0
   10.     0.11   0.619541      1.0324        0.184568      0.0002187     0             0            0
   10.     0.12   0.575725      1.028         0.174076      0.000186494   0             0            0
   10.     0.13   0.533712      1.02565       0.163213      0.000157397   0             0            0
   10.     0.14   0.499647      1.00444       0.156814      0.00013574    0             0            0
   10.     0.15   0.462084      1.00371       0.145987      0.000113063   0             0            0
   10.     0.16   0.429634      0.992034      0.137723      0             0             0            0
   10.     0.17   0.397994      0.985911      0.128602      0             0             0            0
   10.     0.18   0.365844      0.991701      0.117626      0             0             0            0
   10.     0.19   0.340659      0.973479      0.111315      0             0             0            0
   10.     0.2    0.322217      0.928377      0.109456      0             0             0            0
   10.     0.21   0.303549      0.890425      0.106157      0             0             0            0
   10.     0.22   0.279384      0.8903        0.0973038     0             0             0            0
   10.     0.23   0.250865      0.924588      0.0843357     0             0             0            0
   10.     0.24   0.221953      0.971733      0.0707858     0             0             0            0
   10.     0.25   0.198196      0.998294      0.0609387     0             0             0            0
   10.     0.26   0.182254      0.985376      0.0563477     0             0             0            0
   10.     0.27   0.173613      0.932675      0.0560824     0             0             0            0
   10.     0.28   0.169471      0.855106      0.0578669     0             0             0            0
   10.     0.29   0.166297      0.774429      0.0594253     0             0             0            0
   10.     0.3    0.162305      0.701849      0.059705      0             0             0            0
   10.     0.31   0.155531      0.651696      0.0578741     0             0             0            0
