   mDM     x      nu           b             tau           c             q             t             Z             W
   10.     0.01   0.00636745   1.21081       0.829178      0.382358      0             0             0             0
   10.     0.02   0.00655397   1.16565       0.884634      0.348534      0             0             0             0
   10.     0.03   0.00654672   1.11191       0.909498      0.327792      0             0             0             0
   10.     0.04   0.00655039   1.0553        0.923841      0.311784      0             0             0             0
   10.     0.05   0.00652772   0.997487      0.933112      0.298105      0.000515721   0             0             0
   10.     0.06   0.00650646   0.942657      0.936463      0.285562      0.000839733   0             0             0
   10.     0.07   0.00648883   0.890305      0.933734      0.273048      0.000638298   0             0             0
   10.     0.08   0.00647064   0.836123      0.928709      0.260326      0.000501655   0             0             0
   10.     0.09   0.00644978   0.781049      0.92271       0.247482      0.000429192   0             0             0
   10.     0.1    0.00642786   0.726718      0.91619       0.234653      0.000376234   0             0             0
   10.     0.11   0.00639697   0.674389      0.909334      0.22193       0.000323945   0             0             0
   10.     0.12   0.00637344   0.624801      0.9023        0.209395      0.000270401   0             0             0
   10.     0.13   0.00635142   0.578269      0.895028      0.197117      0.000219065   0             0             0
   10.     0.14   0.0063197    0.535023      0.887503      0.18518       0.000173587   0             0             0
   10.     0.15   0.00628298   0.494883      0.879693      0.17361       0.000135578   0             0             0
   10.     0.16   0.00623415   0.457776      0.871614      0.162465      0.000105321   0             0             0
   10.     0.17   0.00621456   0.423481      0.863235      0.151751      0             0             0             0
   10.     0.18   0.0061838    0.391782      0.854579      0.14149       0             0             0             0
   10.     0.19   0.00613762   0.362456      0.845656      0.131681      0             0             0             0
   10.     0.2    0.00610864   0.335356      0.836478      0.122349      0             0             0             0
   10.     0.21   0.00606696   0.310228      0.827086      0.113474      0             0             0             0
   10.     0.22   0.00602765   0.286943      0.817492      0.105067      0             0             0             0
   10.     0.23   0.00598194   0.26535       0.807683      0.0971164     0             0             0             0
   10.     0.24   0.00594759   0.245277      0.797739      0.0896174     0             0             0             0
   10.     0.25   0.00592187   0.226619      0.787664      0.0825589     0             0             0             0
   10.     0.26   0.0058842    0.209258      0.777444      0.0759227     0             0             0             0
   10.     0.27   0.00584116   0.193091      0.76712       0.0697079     0             0             0             0
   10.     0.28   0.00580127   0.178021      0.75672       0.0638906     0             0             0             0
   10.     0.29   0.00576578   0.163965      0.746245      0.0584598     0             0             0             0
   10.     0.3    0.00572438   0.150845      0.735702      0.0534002     0             0             0             0
   10.     0.31   0.00569564   0.138592      0.725129      0.0486899     0             0             0             0
   10.     0.32   0.00566884   0.127165      0.714503      0.0443208     0             0             0             0
   10.     0.33   0.00564004   0.116505      0.703846      0.0402747     0             0             0             0
   10.     0.34   0.00559993   0.10655       0.693183      0.0365301     0             0             0             0
   10.     0.35   0.00556344   0.0972733     0.682513      0.0330755     0             0             0             0
   10.     0.36   0.00553607   0.0886333     0.67184       0.0298932     0             0             0             0
   10.     0.37   0.00551153   0.0805863     0.661159      0.0269664     0             0             0             0
   10.     0.38   0.00548855   0.0731134     0.650486      0.0242827     0             0             0             0
   10.     0.39   0.0054645    0.0661757     0.639902      0.0218268     0             0             0             0
