# NMSSMTools OUTPUT IN SLHA FORMAT
# Info about spectrum calculator
BLOCK SPINFO        # Program information
     1   NMSSMTools # spectrum calculator
     2   3.0        # version number
     8   0          # Higgs mass precision
# Input parameters
BLOCK MODSEL
    3     1         # NMSSM PARTICLE CONTENT
BLOCK SMINPUTS
     1     1.27920000E+02   # ALPHA_EM^-1(MZ)
     2     1.16639000E-05   # GF
     3     1.17200000E-01   # ALPHA_S(MZ)
     4     9.11870000E+01   # MZ
     5     4.21400000E+00   # MB(MB)
     6     1.71400000E+02   # MTOP (POLE MASS)
     7     1.77700000E+00   # MTAU
# SMINPUTS Beyond SLHA:
# MW:     0.80420000E+02
# MS:     0.19000000E+00
# MC:     0.14000000E+01
# VUS:     0.22000000E+00
# VCB:     0.40000000E-01
# VUB:     0.40000000E-02
BLOCK MINPAR
     3     2.00000000E+00   # TANBETA(MZ)
BLOCK EXTPAR
     1     1.00000000E+02   # M1
     2     2.00000000E+02   # M2
     3     6.00000000E+02   # M3
    11    -2.50000000E+03   # ATOP
    12    -2.50000000E+03   # ABOTTOM
    13    -2.50000000E+03   # ATAU
    16    -2.50000000E+03   # AMUON
    31     2.00000000E+02   # LEFT SELECTRON
    32     2.00000000E+02   # LEFT SMUON
    33     2.00000000E+02   # LEFT STAU
    34     2.00000000E+02   # RIGHT SELECTRON
    35     2.00000000E+02   # RIGHT SMUON
    36     2.00000000E+02   # RIGHT STAU
    41     1.00000000E+03   # LEFT 1ST GEN. SQUARKS
    42     1.00000000E+03   # LEFT 2ND GEN. SQUARKS
    43     1.00000000E+03   # LEFT 3RD GEN. SQUARKS
    44     1.00000000E+03   # RIGHT U-SQUARKS
    45     1.00000000E+03   # RIGHT C-SQUARKS
    46     1.00000000E+03   # RIGHT T-SQUARKS
    47     1.00000000E+03   # RIGHT D-SQUARKS
    48     1.00000000E+03   # RIGHT S-SQUARKS
    49     1.00000000E+03   # RIGHT B-SQUARKS
    61     7.00000000E-01   # LAMBDA
    62     5.00000000E-02   # KAPPA
    63     1.28000000E+03   # ALAMBDA
    65     5.30000000E+02   # MUEFF
# 
BLOCK MASS   # Mass spectrum 
#  PDG Code     mass             particle 
        25     1.37420835E+02   # lightest neutral scalar
        35     1.51335164E+02   # second neutral scalar
        45     1.30842942E+03   # third neutral scalar
        36     5.98806619E+01   # lightest pseudoscalar
        46     1.31175093E+03   # second pseudoscalar
        37     1.30408712E+03   # charged Higgs
   1000001     1.02020402E+03   #  ~d_L
   2000001     1.01938945E+03   #  ~d_R
   1000002     1.01839246E+03   #  ~u_L
   2000002     1.01884438E+03   #  ~u_R
   1000003     1.02020402E+03   #  ~s_L
   2000003     1.01938945E+03   #  ~s_R
   1000004     1.01839246E+03   #  ~c_L
   2000004     1.01884438E+03   #  ~c_R
   1000005     1.01544760E+03   #  ~b_1
   2000005     1.02413370E+03   #  ~b_2
   1000006     8.03537063E+02   #  ~t_1
   2000006     1.21409364E+03   #  ~t_2
   1000011     2.03194690E+02   #  ~e_L
   2000011     2.02752253E+02   #  ~e_R
   1000012     1.93916069E+02   #  ~nue_L
   1000013     2.03194690E+02   #  ~mu_L
   2000013     2.02752253E+02   #  ~mu_R
   1000014     1.93916069E+02   #  ~numu_L
   1000015     1.86754903E+02   #  ~tau_1
   2000015     2.18003394E+02   #  ~tau_2
   1000016     1.93916069E+02   #  ~nutau_L
   1000021     6.98493025E+02   #  ~g
   1000022     8.75316655E+01   # neutralino(1)
   1000023     1.00816977E+02   # neutralino(2)
   1000025     1.96433209E+02   # neutralino(3)
   1000035    -5.56455233E+02   # neutralino(4)
   1000045     5.57681560E+02   # neutralino(5)
   1000024     1.94417902E+02   # chargino(1)
   1000037     5.52146951E+02   # chargino(2)
# 
# Low energy observables
BLOCK LOWEN
# Exp. 2 Sigma: 3.03E-04 < BR(b -> s gamma) < 4.01E-04:
     1     3.14652662E-04   # BR(b -> s gamma)
    11     3.48812411E-04   # (BR(b -> s gamma)+Theor.Err.)
    12     2.60696158E-04   # (BR(b -> s gamma)-Theor.Err.)
# Exp. 2 Sigma: 4.99E-01 < Delta M_d < 5.15E-01:
     2     6.08670831E-01   # Delta M_d in ps^-1
    21     1.06072842E+00   # Delta M_d +Theor.Err.
    22     1.63634497E-01   # Delta M_d -Theor.Err.
# Exp. 2 Sigma: 1.753E+01 < Delta Ms < 1.801E+01:
     3     2.10848751E+01   # Delta M_s in ps^-1
    31     2.77658954E+01   # Delta M_s +Theor.Err.
    32     1.45061451E+01   # Delta M_s -Theor.Err.
# Exp. 95% C.L.: BR(Bs->mu+mu-) < 5.8E-08:
     4     3.53378826E-09   # BR(Bs -> mu+mu-)
    41     6.00207284E-09   # BR(Bs -> mu+mu-)+Theor.Err.
    42     1.71541819E-09   # BR(Bs -> mu+mu-)-Theor.Err.
# Exp. 2 Sigma: 3.40E-05 < BR(B+ > tau+ + nu_tau) < 2.30E-04:
     5     1.31776476E-04   # BR(B+ -> tau+ + nu_tau)
    51     2.63604497E-04   # BR(B+ -> tau+ + nu_tau) + Theor.Err.
    52     5.68715646E-05   # BR(B+ -> tau+ + nu_tau) - Theor.Err.
# BSM contr. to the muon anomalous magn. moment:
     6     9.17923010E-10   # Del_a_mu
    61     1.21833641E-09   # Del_a_mu + Theor.Err.
    62     6.17509613E-10   # Del_a_mu - Theor.Err.
# Minimal Exp.-SM (2 sigma):  8.77306222E-10
# Maximal Exp.-SM (2 sigma):  4.61144414E-09
# 
BLOCK HMIX Q=  1.00000000E+03 # (STOP/SBOTTOM MASSES)
     1     5.30000000E+02   # MUEFF
     2     1.99711750E+00   # TAN(BETA)
     3     2.42827688E+02   # V(Q)
     4     1.74465145E+06   # MA^2
     5     1.56203886E+04   # MP^2
# 
# 3*3 Higgs mixing
BLOCK NMHMIX
  1  1     4.50393501E-01   # S_(1,1)
  1  2     8.80699117E-01   # S_(1,2)
  1  3     1.46679108E-01   # S_(1,3)
  2  1    -1.51505060E-02   # S_(2,1)
  2  2    -1.56722992E-01   # S_(2,2)
  2  3     9.87526388E-01   # S_(2,3)
  3  1     8.92701606E-01   # S_(3,1)
  3  2    -4.46997729E-01   # S_(3,2)
  3  3    -5.72439797E-02   # S_(3,3)
# 
# 3*3 Pseudoscalar Higgs mixing
BLOCK NMAMIX
  1  1    -7.50622924E-02   # P_(1,1)
  1  2    -3.75311462E-02   # P_(1,2)
  1  3     9.96472310E-01   # P_(1,3)
  2  1     8.91271929E-01   # P_(2,1)
  2  2     4.45635965E-01   # P_(2,2)
  2  3     8.39221941E-02   # P_(2,3)
# 
# 3rd generation sfermion mixing
BLOCK STOPMIX  # Stop mixing matrix
  1  1     7.07508339E-01   # Rst_(1,1)
  1  2     7.06704996E-01   # Rst_(1,2)
  2  1    -7.06704996E-01   # Rst_(2,1)
  2  2     7.07508339E-01   # Rst_(2,2)
BLOCK SBOTMIX  # Sbottom mixing matrix
  1  1     6.72547089E-01   # Rsb_(1,1)
  1  2     7.40054331E-01   # Rsb_(1,2)
