# ATLAS CONF-2012-012
# Atlas_H-WW-lnulnu_4.7fb-1
# Read in by OS
# 
# MH obs exp
110.000 9.647 9.012
115.000 4.536 4.688
120.000 2.256 1.997
125.000 1.566 1.280
130.000 1.103 0.857
135.000 0.795 0.613
140.000 0.646 0.490
145.000 0.532 0.392
150.000 0.429 0.327
155.000 0.327 0.270
160.000 0.233 0.222
165.000 0.174 0.183
170.000 0.174 0.195
175.000 0.190 0.228
180.000 0.222 0.275
185.000 0.276 0.354
190.000 0.346 0.444
195.000 0.507 0.525
200.000 0.604 0.613
205.000 0.640 0.695
210.000 0.663 0.762
215.000 0.686 0.828
220.000 0.709 0.877
225.000 0.735 0.925
230.000 0.761 0.971
235.000 0.788 1.015
240.000 0.814 1.059
245.000 0.858 1.108
250.000 0.905 1.174
255.000 0.952 1.241
260.000 0.999 1.300
265.000 1.044 1.354
270.000 1.089 1.408
275.000 1.133 1.463
280.000 1.178 1.519
285.000 1.187 1.568
290.000 1.184 1.574
295.000 1.181 1.581
300.000 1.178 1.587
305.000 1.174 1.590
310.000 1.170 1.572
315.000 1.166 1.554
320.000 1.162 1.535
325.000 1.158 1.517
330.000 1.154 1.499
335.000 1.150 1.481
340.000 1.146 1.464
345.000 1.142 1.447
350.000 1.138 1.430
355.000 1.134 1.413
360.000 1.130 1.396
365.000 1.146 1.410
370.000 1.171 1.441
375.000 1.197 1.472
380.000 1.222 1.504
385.000 1.248 1.536
390.000 1.274 1.567
395.000 1.299 1.599
400.000 1.325 1.644
405.000 1.369 1.691
410.000 1.423 1.740
415.000 1.476 1.806
420.000 1.530 1.872
425.000 1.583 1.940
430.000 1.637 2.018
435.000 1.691 2.096
440.000 1.744 2.174
445.000 1.824 2.252
450.000 1.906 2.355
455.000 1.988 2.459
460.000 2.070 2.564
465.000 2.152 2.668
470.000 2.234 2.774
475.000 2.316 2.880
480.000 2.398 2.987
485.000 2.479 3.094
490.000 2.561 3.203
495.000 2.643 3.348
500.000 2.725 3.492
505.000 2.853 3.636
510.000 2.986 3.789
515.000 3.119 3.945
520.000 3.252 4.101
525.000 3.385 4.257
530.000 3.518 4.413
535.000 3.651 4.587
540.000 3.784 4.785
545.000 3.969 4.984
550.000 4.167 5.182
555.000 4.366 5.381
560.000 4.565 5.598
565.000 4.763 5.857
570.000 4.962 6.115
575.000 5.161 6.374
580.000 5.359 6.637
585.000 5.558 6.909
590.000 5.757 7.180
595.000 5.955 7.452
600.000 6.154 7.724
