# ATLAS CONF-2012-015
# Atlas_H-ZZ-llnunu_4.7fb-1
# Read in by OS
# 
# MH obs exp
200.000 3.545 2.554
205.000 3.182 2.262
210.000 2.847 1.990
215.000 2.591 1.764
220.000 2.363 1.604
225.000 2.222 1.479
230.000 2.106 1.401
235.000 1.986 1.324
240.000 1.830 1.246
245.000 1.613 1.171
250.000 1.369 1.098
255.000 1.209 1.028
260.000 1.189 0.993
265.000 1.274 0.987
270.000 1.354 0.987
275.000 1.484 0.989
280.000 1.476 0.969
285.000 1.383 0.794
290.000 1.375 0.794
295.000 1.379 0.802
300.000 1.340 0.808
305.000 1.309 0.792
310.000 1.204 0.761
315.000 1.109 0.719
320.000 0.984 0.680
325.000 0.890 0.651
330.000 0.811 0.628
335.000 0.723 0.606
340.000 0.645 0.585
345.000 0.568 0.564
350.000 0.481 0.547
355.000 0.418 0.535
360.000 0.362 0.524
365.000 0.331 0.510
370.000 0.301 0.495
375.000 0.281 0.489
380.000 0.260 0.490
385.000 0.252 0.496
390.000 0.246 0.505
395.000 0.246 0.519
400.000 0.246 0.534
405.000 0.247 0.549
410.000 0.249 0.564
415.000 0.250 0.580
420.000 0.251 0.598
425.000 0.263 0.628
430.000 0.276 0.657
435.000 0.289 0.684
440.000 0.302 0.711
445.000 0.314 0.741
450.000 0.325 0.771
455.000 0.337 0.801
460.000 0.348 0.832
465.000 0.363 0.849
470.000 0.378 0.857
475.000 0.393 0.876
480.000 0.408 0.892
485.000 0.434 0.930
490.000 0.460 0.971
495.000 0.487 1.005
500.000 0.514 1.039
505.000 0.543 1.073
510.000 0.573 1.107
515.000 0.603 1.141
520.000 0.635 1.175
525.000 0.681 1.213
530.000 0.727 1.253
535.000 0.773 1.294
540.000 0.819 1.339
545.000 0.876 1.389
550.000 0.934 1.439
555.000 0.991 1.491
560.000 1.049 1.545
565.000 1.119 1.619
570.000 1.190 1.695
575.000 1.260 1.771
580.000 1.331 1.844
585.000 1.408 1.897
590.000 1.485 1.951
595.000 1.563 2.009
600.000 1.640 2.066
