# ATLAS CONF-2012-017
# Atlas_H-ZZ-llqq_4.7fb-1
# Read in by OS
# 
# MH obs exp
200.000 1.183 1.969
205.000 1.034 1.956
210.000 1.210 1.943
215.000 1.389 1.947
220.000 1.373 1.945
225.000 1.236 1.925
230.000 1.224 1.906
235.000 1.283 1.886
240.000 1.283 1.860
245.000 1.308 1.831
250.000 1.312 1.791
255.000 1.325 1.696
260.000 1.274 1.696
265.000 1.444 1.740
270.000 1.611 1.758
275.000 1.851 1.796
280.000 2.202 1.837
285.000 2.586 1.832
290.000 2.817 1.733
295.000 2.706 1.673
300.000 1.560 1.617
305.000 0.866 1.530
310.000 0.911 1.432
315.000 1.035 1.383
320.000 1.128 1.335
325.000 1.311 1.278
330.000 1.529 1.212
335.000 1.504 1.148
340.000 1.476 1.088
345.000 1.459 1.031
350.000 1.239 0.995
355.000 1.096 0.954
360.000 0.952 0.912
365.000 0.872 0.896
370.000 0.797 0.886
375.000 0.754 0.878
380.000 0.716 0.871
385.000 0.738 0.874
390.000 0.759 0.890
395.000 0.766 0.914
400.000 0.773 0.946
405.000 0.849 0.974
410.000 0.926 1.002
415.000 1.003 1.029
420.000 1.080 1.055
425.000 1.130 1.080
430.000 1.180 1.109
435.000 1.230 1.143
440.000 1.280 1.178
445.000 1.361 1.216
450.000 1.443 1.254
455.000 1.525 1.295
460.000 1.606 1.337
465.000 1.661 1.376
470.000 1.716 1.416
475.000 1.771 1.453
480.000 1.832 1.482
485.000 1.983 1.550
490.000 2.133 1.653
495.000 2.284 1.743
500.000 2.434 1.824
505.000 2.497 1.880
510.000 2.559 1.916
515.000 2.621 1.948
520.000 2.689 1.969
525.000 3.078 2.110
530.000 3.467 2.247
535.000 3.855 2.384
540.000 4.253 2.534
545.000 4.718 2.698
550.000 5.183 2.886
555.000 5.648 3.067
560.000 6.108 3.247
565.000 6.542 3.424
570.000 6.976 3.620
575.000 7.409 3.822
580.000 7.833 4.027
585.000 8.127 4.292
590.000 8.421 4.587
595.000 8.715 4.886
600.000 9.009 5.195
