# HIGGS + TOP BRANCHING RATIOS IN SLHA FORMAT
# Info about decay package
BLOCK DCINFO   # Program information
     1   NMSSMTools # Decay package
     2   4.1.2      # Version number
#           PDG          Width
DECAY        25     3.84584919E-02   # Lightest neutral Higgs scalar
     6.71062404E-03    2          21        21   # BR(H_1 -> gluon gluon)
     2.65204297E-05    2          13       -13   # BR(H_1 -> muon muon)
     7.49375493E-03    2          15       -15   # BR(H_1 -> tau tau)
     5.48711674E-05    2           3        -3   # BR(H_1 -> s sbar)
     3.27518757E-03    2           4        -4   # BR(H_1 -> c cbar)
     7.03841831E-02    2           5        -5   # BR(H_1 -> b bbar)
     7.28455538E-02    2          24       -24   # BR(H_1 -> W+ W-)
     9.60312192E-03    2          23        23   # BR(H_1 -> Z Z)
     3.70603068E-04    2          22        22   # BR(H_1 -> gamma gamma)
     4.42081376E-04    2          23        22   # BR(H_1 -> Z gamma)
     8.28793499E-01    2          36        36   # BR(H_1 -> A_1 A_1)
DECAY        35     4.41026847E-03   # 2nd neutral Higgs scalar
     3.08077484E-03    2          21        21   # BR(H_2 -> gluon gluon)
     5.00862214E-07    2          13       -13   # BR(H_2 -> muon muon)
     1.41551360E-04    2          15       -15   # BR(H_2 -> tau tau)
     1.10134780E-06    2           3        -3   # BR(H_2 -> s sbar)
     1.22696550E-03    2           4        -4   # BR(H_2 -> c cbar)
     1.64395303E-03    2           5        -5   # BR(H_2 -> b bbar)
     7.48966755E-02    2          24       -24   # BR(H_2 -> W+ W-)
     8.35916038E-03    2          23        23   # BR(H_2 -> Z Z)
     2.11097052E-04    2          22        22   # BR(H_2 -> gamma gamma)
     3.19614468E-04    2          23        22   # BR(H_2 -> Z gamma)
     9.10112752E-01    2          36        36   # BR(H_2 -> A_1 A_1)
     5.85328386E-06    2          23        36   # BR(H_2 -> A_1 Z)
DECAY        45     4.31637891E+01   # 3rd neutral Higgs scalar
     2.82174689E-04    2          21        21   # BR(H_3 -> gluon gluon)
     8.85012117E-07    2          13       -13   # BR(H_3 -> muon muon)
     2.50321453E-04    2          15       -15   # BR(H_3 -> tau tau)
     1.23495895E-06    2           3        -3   # BR(H_3 -> s sbar)
     4.75920408E-05    2           4        -4   # BR(H_3 -> c cbar)
     1.64725433E-03    2           5        -5   # BR(H_3 -> b bbar)
     3.33156704E-01    2           6        -6   # BR(H_3 -> t tbar)
     5.39973477E-06    2          24       -24   # BR(H_3 -> W+ W-)
     2.68244255E-06    2          23        23   # BR(H_3 -> Z Z)
     2.32746292E-06    2          22        22   # BR(H_3 -> gamma gamma)
     1.39707918E-06    2          23        22   # BR(H_3 -> Z gamma)
     1.24020134E-03    2          25        25   # BR(H_3 -> H_1 H_1)
     4.75431498E-02    2          25        35   # BR(H_3 -> H_1 H_2)
     9.74496191E-03    2          35        35   # BR(H_3 -> H_2 H_2)
     3.10579486E-06    2          36        36   # BR(H_3 -> A_1 A_1)
     1.16625220E-01    2          23        36   # BR(H_3 -> A_1 Z)
     1.19652920E-02    2     1000022   1000022   # BR(H_3 -> neu_1 neu_1)
     6.43718475E-03    2     1000022   1000023   # BR(H_3 -> neu_1 neu_2)
     3.60822185E-03    2     1000022   1000025   # BR(H_3 -> neu_1 neu_3)
     4.91032084E-02    2     1000022   1000035   # BR(H_3 -> neu_1 neu_4)
     5.55244699E-02    2     1000022   1000045   # BR(H_3 -> neu_1 neu_5)
     1.07969509E-04    2     1000023   1000023   # BR(H_3 -> neu_2 neu_2)
     1.22008923E-02    2     1000023   1000025   # BR(H_3 -> neu_2 neu_3)
     2.49500701E-04    2     1000023   1000035   # BR(H_3 -> neu_2 neu_4)
     7.28922406E-02    2     1000023   1000045   # BR(H_3 -> neu_2 neu_5)
     3.90865511E-03    2     1000025   1000025   # BR(H_3 -> neu_3 neu_3)
     5.38464846E-02    2     1000025   1000035   # BR(H_3 -> neu_3 neu_4)
     1.36479300E-02    2     1000025   1000045   # BR(H_3 -> neu_3 neu_5)
     1.11301098E-07    2     1000035   1000035   # BR(H_3 -> neu_4 neu_4)
     1.97802495E-02    2     1000035   1000045   # BR(H_3 -> neu_4 neu_5)
     1.79626144E-04    2     1000045   1000045   # BR(H_3 -> neu_5 neu_5)
     4.61620559E-03    2     1000024  -1000024   # BR(H_3 -> cha_1 cha_1bar)
     8.97933527E-02    2     1000024  -1000037   # BR(H_3 -> cha_1 cha_2bar)
     8.97933527E-02    2     1000037  -1000024   # BR(H_3 -> cha_2 cha_1bar)
     3.15590978E-06    2     1000037  -1000037   # BR(H_3 -> cha_2 cha_2bar)
     7.32620833E-05    2     1000011  -1000011   # BR(H_3 -> ~e_L ~ebar_L)
     7.32620833E-05    2     1000013  -1000013   # BR(H_3 -> ~mu_L ~mubar_L)
     4.68894358E-05    2     2000011  -2000011   # BR(H_3 -> ~e_R ~ebar_R)
     4.68894358E-05    2     2000013  -2000013   # BR(H_3 -> ~mu_R ~mubarRL)
     2.38476607E-04    2     1000012  -1000012   # BR(H_3 -> ~nu_e_L ~nu_ebar_L)
     2.38476607E-04    2     1000014  -1000014   # BR(H_3 -> ~nu_mu_L ~nu_mubar_L)
     7.06334047E-04    2     1000015  -1000015   # BR(H_3 -> ~tau_1 ~taubar_1)
     1.22693176E-04    2     2000015  -2000015   # BR(H_3 -> ~tau_2 ~taubar_2)
     1.26192166E-06    2     1000015  -2000015   # BR(H_3 -> ~tau_1 ~taubar_2)
     1.26192166E-06    2     2000015  -1000015   # BR(H_3 -> ~tau_2 ~taubar_1)
     2.38476607E-04    2     1000016  -1000016   # BR(H_3 -> ~nu_tau_L ~nu_taubar_L)
DECAY        36     4.22838930E-05   # Lightest pseudoscalar
     3.66254354E-03    2          21        21   # BR(A_1 -> gluon gluon)
     2.88857743E-04    2          13       -13   # BR(A_1 -> muon muon)
     8.15570659E-02    2          15       -15   # BR(A_1 -> tau tau)
     7.00228978E-04    2           3        -3   # BR(A_1 -> s sbar)
     2.48745979E-03    2           4        -4   # BR(A_1 -> c cbar)
     9.11227703E-01    2           5        -5   # BR(A_1 -> b bbar)
     7.61407508E-05    2          22        22   # BR(A_1 -> gamma gamma)
DECAY        46     4.42762611E+01   # 2nd pseudoscalar
     3.48742426E-04    2          21        21   # BR(A_2 -> gluon gluon)
     8.62395282E-07    2          13       -13   # BR(A_2 -> muon muon)
     2.43926187E-04    2          15       -15   # BR(A_2 -> tau tau)
     1.22270488E-06    2           3        -3   # BR(A_2 -> s sbar)
     5.81440840E-05    2           4        -4   # BR(A_2 -> c cbar)
     1.62406554E-03    2           5        -5   # BR(A_2 -> b bbar)
     3.41478558E-01    2           6        -6   # BR(A_2 -> t tbar)
     2.95738666E-06    2          22        22   # BR(A_2 -> gamma gamma)
     3.09883163E-06    2          23        22   # BR(A_2 -> Z gamma)
     1.09802027E-01    2          36        25   # BR(A_2 -> A_1 H_1)
     1.19850175E-02    2          36        35   # BR(A_2 -> A_1 H_2)
     1.45298442E-03    2          23        25   # BR(A_2 -> Z H_1)
     5.00932077E-02    2          23        35   # BR(A_2 -> Z H_2)
     1.25206508E-02    2     1000022   1000022   # BR(A_2 -> neu_1 neu_1)
     6.69307398E-03    2     1000022   1000023   # BR(A_2 -> neu_1 neu_2)
     3.68230698E-03    2     1000022   1000025   # BR(A_2 -> neu_1 neu_3)
     5.48334323E-02    2     1000022   1000035   # BR(A_2 -> neu_1 neu_4)
     4.73421875E-02    2     1000022   1000045   # BR(A_2 -> neu_1 neu_5)
     4.77603536E-03    2     1000023   1000023   # BR(A_2 -> neu_2 neu_2)
     2.12547073E-03    2     1000023   1000025   # BR(A_2 -> neu_2 neu_3)
     7.06488541E-02    2     1000023   1000035   # BR(A_2 -> neu_2 neu_4)
     3.48422355E-04    2     1000023   1000045   # BR(A_2 -> neu_2 neu_5)
     8.46636794E-03    2     1000025   1000025   # BR(A_2 -> neu_3 neu_3)
     1.26474500E-02    2     1000025   1000035   # BR(A_2 -> neu_3 neu_4)
     5.44964823E-02    2     1000025   1000045   # BR(A_2 -> neu_3 neu_5)
     1.42818620E-02    2     1000035   1000035   # BR(A_2 -> neu_4 neu_4)
     9.60441099E-05    2     1000035   1000045   # BR(A_2 -> neu_4 neu_5)
     6.06904915E-03    2     1000045   1000045   # BR(A_2 -> neu_5 neu_5)
     2.22754090E-02    2     1000024  -1000024   # BR(A_2 -> cha_1 cha_1bar)
     7.81449805E-02    2     1000024  -1000037   # BR(A_2 -> cha_1 cha_2bar)
     7.81449805E-02    2     1000037  -1000024   # BR(A_2 -> cha_2 cha_1bar)
     4.62787891E-03    2     1000037  -1000037   # BR(A_2 -> cha_2 cha_2bar)
     3.42123596E-04    2     1000015  -2000015   # BR(A_2 -> ~tau_1 ~taubar_2)
     3.42123596E-04    2     2000015  -1000015   # BR(A_2 -> ~tau_2 ~taubar_1)
DECAY        37     4.31691618E+01   # Charged Higgs
     8.85489438E-07    2         -13        14   # BR(H+ -> muon nu_muon)
     2.50458296E-04    2         -15        16   # BR(H+ -> tau nu_tau)
     7.34094814E-08    2           2        -3   # BR(H+ -> u sbar)
     4.59181583E-06    2           4        -3   # BR(H+ -> c sbar)
     2.53914081E-08    2           2        -5   # BR(H+ -> u bbar)
