# HIGGS + TOP BRANCHING RATIOS IN SLHA FORMAT
# Info about decay package
BLOCK DCINFO   # Program information
     1   NMSSMTools # Decay package
     2   4.1.2      # Version number
#           PDG          Width
DECAY        25     3.51190270E-03   # Lightest neutral Higgs scalar
     5.71828914E-02    2          21        21   # BR(H_1 -> gluon gluon)
     2.53128750E-04    2          13       -13   # BR(H_1 -> muon muon)
     7.15044364E-02    2          15       -15   # BR(H_1 -> tau tau)
     5.37205095E-04    2           3        -3   # BR(H_1 -> s sbar)
     3.16975359E-02    2           4        -4   # BR(H_1 -> c cbar)
     6.87648681E-01    2           5        -5   # BR(H_1 -> b bbar)
     1.34720754E-01    2          24       -24   # BR(H_1 -> W+ W-)
     1.28672599E-02    2          23        23   # BR(H_1 -> Z Z)
     2.33975693E-03    2          22        22   # BR(H_1 -> gamma gamma)
     1.24835100E-03    2          23        22   # BR(H_1 -> Z gamma)
DECAY        35     2.50904377E+01   # 2nd neutral Higgs scalar
     9.51208554E-04    2          21        21   # BR(H_2 -> gluon gluon)
     5.76007868E-07    2          13       -13   # BR(H_2 -> muon muon)
     1.62919851E-04    2          15       -15   # BR(H_2 -> tau tau)
     8.27763215E-07    2           3        -3   # BR(H_2 -> s sbar)
     1.57929014E-04    2           4        -4   # BR(H_2 -> c cbar)
     1.16650453E-03    2           5        -5   # BR(H_2 -> b bbar)
     8.84169445E-01    2           6        -6   # BR(H_2 -> t tbar)
     1.46627268E-05    2          24       -24   # BR(H_2 -> W+ W-)
     7.25199829E-06    2          23        23   # BR(H_2 -> Z Z)
     5.95615485E-06    2          22        22   # BR(H_2 -> gamma gamma)
     1.98193463E-06    2          23        22   # BR(H_2 -> Z gamma)
     1.66036911E-04    2          25        25   # BR(H_2 -> H_1 H_1)
     3.88242789E-02    2          23        36   # BR(H_2 -> A_1 Z)
     4.03149043E-05    2     1000022   1000022   # BR(H_2 -> neu_1 neu_1)
     2.10792062E-04    2     1000022   1000023   # BR(H_2 -> neu_1 neu_2)
     1.13512837E-02    2     1000022   1000025   # BR(H_2 -> neu_1 neu_3)
     8.52246539E-05    2     1000022   1000035   # BR(H_2 -> neu_1 neu_4)
     2.66505301E-04    2     1000023   1000023   # BR(H_2 -> neu_2 neu_2)
     1.97544470E-02    2     1000023   1000025   # BR(H_2 -> neu_2 neu_3)
     1.82058186E-05    2     1000023   1000035   # BR(H_2 -> neu_2 neu_4)
     6.49270625E-04    2     1000024  -1000024   # BR(H_2 -> cha_1 cha_1bar)
     1.94753649E-02    2     1000024  -1000037   # BR(H_2 -> cha_1 cha_2bar)
     1.94753649E-02    2     1000037  -1000024   # BR(H_2 -> cha_2 cha_1bar)
     2.00239515E-04    2     1000011  -1000011   # BR(H_2 -> ~e_L ~ebar_L)
     2.00239515E-04    2     1000013  -1000013   # BR(H_2 -> ~mu_L ~mubar_L)
     1.49621094E-04    2     2000011  -2000011   # BR(H_2 -> ~e_R ~ebar_R)
     1.49621094E-04    2     2000013  -2000013   # BR(H_2 -> ~mu_R ~mubarRL)
     6.52494962E-04    2     1000012  -1000012   # BR(H_2 -> ~nu_e_L ~nu_ebar_L)
     6.52494962E-04    2     1000014  -1000014   # BR(H_2 -> ~nu_mu_L ~nu_mubar_L)
     1.41993179E-04    2     1000015  -1000015   # BR(H_2 -> ~tau_1 ~taubar_1)
     2.06912424E-04    2     2000015  -2000015   # BR(H_2 -> ~tau_2 ~taubar_2)
     1.87635667E-05    2     1000015  -2000015   # BR(H_2 -> ~tau_1 ~taubar_2)
     1.87635667E-05    2     2000015  -1000015   # BR(H_2 -> ~tau_2 ~taubar_1)
     6.52503408E-04    2     1000016  -1000016   # BR(H_2 -> ~nu_tau_L ~nu_taubar_L)
DECAY        45     1.76458922E+00   # 3rd neutral Higgs scalar
     3.15208818E-05    2          21        21   # BR(H_3 -> gluon gluon)
     5.24614216E-09    2          13       -13   # BR(H_3 -> muon muon)
     1.48384987E-06    2          15       -15   # BR(H_3 -> tau tau)
     6.97713852E-09    2           3        -3   # BR(H_3 -> s sbar)
     5.57374261E-06    2           4        -4   # BR(H_3 -> c cbar)
     1.28721865E-05    2           5        -5   # BR(H_3 -> b bbar)
     6.48966557E-02    2           6        -6   # BR(H_3 -> t tbar)
     1.89665031E-01    2          24       -24   # BR(H_3 -> W+ W-)
     9.43548280E-02    2          23        23   # BR(H_3 -> Z Z)
     1.50090758E-05    2          22        22   # BR(H_3 -> gamma gamma)
     1.61338131E-05    2          23        22   # BR(H_3 -> Z gamma)
     1.05104729E-01    2          25        25   # BR(H_3 -> H_1 H_1)
     1.06998910E-01    2          25        35   # BR(H_3 -> H_1 H_2)
     2.53674924E-02    2          23        36   # BR(H_3 -> A_1 Z)
     7.73332063E-02    2          23        46   # BR(H_3 -> A_2 Z)
     1.00971992E-01    2          24       -37   # BR(H_3 -> W+ H-)
     5.34392162E-05    2     1000022   1000022   # BR(H_3 -> neu_1 neu_1)
     3.92772713E-04    2     1000022   1000023   # BR(H_3 -> neu_1 neu_2)
     1.98190504E-04    2     1000022   1000025   # BR(H_3 -> neu_1 neu_3)
     1.09730377E-02    2     1000022   1000035   # BR(H_3 -> neu_1 neu_4)
     2.72547187E-06    2     1000022   1000045   # BR(H_3 -> neu_1 neu_5)
     7.15493185E-04    2     1000023   1000023   # BR(H_3 -> neu_2 neu_2)
     6.98533763E-04    2     1000023   1000025   # BR(H_3 -> neu_2 neu_3)
     3.55635195E-02    2     1000023   1000035   # BR(H_3 -> neu_2 neu_4)
     3.15737481E-06    2     1000023   1000045   # BR(H_3 -> neu_2 neu_5)
     1.62760202E-03    2     1000024  -1000024   # BR(H_3 -> cha_1 cha_1bar)
     3.90997571E-02    2     1000024  -1000037   # BR(H_3 -> cha_1 cha_2bar)
     3.90997571E-02    2     1000037  -1000024   # BR(H_3 -> cha_2 cha_1bar)
     5.74658389E-03    2     1000006  -1000006   # BR(H_3 -> ~t_1 ~tbar_1)
     3.43405775E-06    2     1000011  -1000011   # BR(H_3 -> ~e_L ~ebar_L)
     3.43405775E-06    2     1000013  -1000013   # BR(H_3 -> ~mu_L ~mubar_L)
     2.33997119E-06    2     2000011  -2000011   # BR(H_3 -> ~e_R ~ebar_R)
     2.33997119E-06    2     2000013  -2000013   # BR(H_3 -> ~mu_R ~mubarRL)
     1.11492836E-05    2     1000012  -1000012   # BR(H_3 -> ~nu_e_L ~nu_ebar_L)
     1.11492836E-05    2     1000014  -1000014   # BR(H_3 -> ~nu_mu_L ~nu_mubar_L)
     1.67036570E-06    2     1000015  -1000015   # BR(H_3 -> ~tau_1 ~taubar_1)
     4.32235733E-06    2     2000015  -2000015   # BR(H_3 -> ~tau_2 ~taubar_2)
     1.35000132E-05    2     1000015  -2000015   # BR(H_3 -> ~tau_1 ~taubar_2)
     1.35000132E-05    2     2000015  -1000015   # BR(H_3 -> ~tau_2 ~taubar_1)
     1.11493371E-05    2     1000016  -1000016   # BR(H_3 -> ~nu_tau_L ~nu_taubar_L)
DECAY        36     2.39482714E+00   # Lightest pseudoscalar
     1.45787109E-03    2          21        21   # BR(A_1 -> gluon gluon)
     5.70139988E-07    2          13       -13   # BR(A_1 -> muon muon)
     1.61261652E-04    2          15       -15   # BR(A_1 -> tau tau)
     8.72325665E-07    2           3        -3   # BR(A_1 -> s sbar)
     2.37210602E-04    2           4        -4   # BR(A_1 -> c cbar)
     1.28005533E-03    2           5        -5   # BR(A_1 -> b bbar)
     9.65707934E-01    2           6        -6   # BR(A_1 -> t tbar)
