# HIGGS + TOP BRANCHING RATIOS IN SLHA FORMAT
# Info about decay package
BLOCK DCINFO   # Program information
     1   NMSSMTools # Decay package
     2   4.1.2      # Version number
#           PDG          Width
DECAY        25     4.86545350E-02   # Lightest neutral Higgs scalar
     3.20730409E-03    2          21        21   # BR(H_1 -> gluon gluon)
     1.69619302E-05    2          13       -13   # BR(H_1 -> muon muon)
     4.79033728E-03    2          15       -15   # BR(H_1 -> tau tau)
     3.65851637E-05    2           3        -3   # BR(H_1 -> s sbar)
     2.04613553E-03    2           4        -4   # BR(H_1 -> c cbar)
     4.67449962E-02    2           5        -5   # BR(H_1 -> b bbar)
     2.65158445E-03    2          24       -24   # BR(H_1 -> W+ W-)
     1.48458741E-04    2          23        23   # BR(H_1 -> Z Z)
     1.21145556E-04    2          22        22   # BR(H_1 -> gamma gamma)
     2.79153514E-05    2          23        22   # BR(H_1 -> Z gamma)
     9.40208576E-01    2          36        36   # BR(H_1 -> A_1 A_1)
DECAY        35     9.63128379E+00   # 2nd neutral Higgs scalar
     1.81989963E-04    2          21        21   # BR(H_2 -> gluon gluon)
     2.55341360E-05    2          13       -13   # BR(H_2 -> muon muon)
     7.22221271E-03    2          15       -15   # BR(H_2 -> tau tau)
     3.56914480E-05    2           3        -3   # BR(H_2 -> s sbar)
     3.10359389E-05    2           4        -4   # BR(H_2 -> c cbar)
     4.41655603E-02    2           5        -5   # BR(H_2 -> b bbar)
     2.47471232E-01    2           6        -6   # BR(H_2 -> t tbar)
     4.58239089E-05    2          24       -24   # BR(H_2 -> W+ W-)
     2.27718896E-05    2          23        23   # BR(H_2 -> Z Z)
     2.14002798E-06    2          22        22   # BR(H_2 -> gamma gamma)
     2.83273385E-06    2          23        22   # BR(H_2 -> Z gamma)
     1.56130263E-04    2          25        25   # BR(H_2 -> H_1 H_1)
     1.17622349E-03    2          36        36   # BR(H_2 -> A_1 A_1)
     2.40332401E-01    2          23        36   # BR(H_2 -> A_1 Z)
     7.91195425E-04    2     1000022   1000022   # BR(H_2 -> neu_1 neu_1)
     5.00488354E-03    2     1000022   1000023   # BR(H_2 -> neu_1 neu_2)
     5.08965666E-02    2     1000022   1000025   # BR(H_2 -> neu_1 neu_3)
     9.47394511E-03    2     1000022   1000035   # BR(H_2 -> neu_1 neu_4)
     7.00821062E-03    2     1000023   1000023   # BR(H_2 -> neu_2 neu_2)
     1.17257181E-01    2     1000023   1000025   # BR(H_2 -> neu_2 neu_3)
     5.84667846E-03    2     1000023   1000035   # BR(H_2 -> neu_2 neu_4)
     1.48577578E-02    2     1000024  -1000024   # BR(H_2 -> cha_1 cha_1bar)
     1.23996001E-01    2     1000024  -1000037   # BR(H_2 -> cha_1 cha_2bar)
     1.23996001E-01    2     1000037  -1000024   # BR(H_2 -> cha_2 cha_1bar)
DECAY        45     4.71894342E+00   # 3rd neutral Higgs scalar
     4.89458907E-06    2          21        21   # BR(H_3 -> gluon gluon)
     6.87141365E-08    2          13       -13   # BR(H_3 -> muon muon)
     1.94355700E-05    2          15       -15   # BR(H_3 -> tau tau)
     9.19367664E-08    2           3        -3   # BR(H_3 -> s sbar)
