#  Hindmarsh-Philipsen equation of state C
#   rho=g*(pi^2/30)*T^4    s=gS*(2*pi^2/45)*T^3    p=gP*(pi^2/90)*T^4
#   T[GeV]         heff           geff    
 1.2589250e+04  1.0477091e+02  1.0477959e+02
 1.1885040e+04  1.0476529e+02  1.0477404e+02
 1.1220190e+04  1.0475962e+02  1.0476845e+02
 1.0592560e+04  1.0475392e+02  1.0476282e+02
 1.0000000e+04  1.0474817e+02  1.0475715e+02
 9.4406060e+03  1.0474237e+02  1.0475143e+02
 8.9125300e+03  1.0473653e+02  1.0474568e+02
 8.4139500e+03  1.0473064e+02  1.0473988e+02
 7.9432840e+03  1.0472470e+02  1.0473403e+02
 7.4989420e+03  1.0471871e+02  1.0472814e+02
 7.0794570e+03  1.0471267e+02  1.0472220e+02
 6.6834550e+03  1.0470658e+02  1.0471621e+02
 6.3095860e+03  1.0470042e+02  1.0471017e+02
 5.9566360e+03  1.0469421e+02  1.0470408e+02
 5.6234260e+03  1.0468794e+02  1.0469793e+02
 5.3088430e+03  1.0468160e+02  1.0469172e+02
 5.0118730e+03  1.0467519e+02  1.0468546e+02
 4.7315120e+03  1.0466872e+02  1.0467913e+02
 4.4668370e+03  1.0466217e+02  1.0467274e+02
 4.2169650e+03  1.0465553e+02  1.0466628e+02
 3.9810710e+03  1.0464882e+02  1.0465976e+02
 3.7583750e+03  1.0464201e+02  1.0465315e+02
 3.5481410e+03  1.0463512e+02  1.0464647e+02
 3.3496630e+03  1.0462812e+02  1.0463971e+02
 3.1622850e+03  1.0462101e+02  1.0463286e+02
 2.9853820e+03  1.0461379e+02  1.0462591e+02
 2.8183960e+03  1.0460644e+02  1.0461887e+02
 2.6607250e+03  1.0459896e+02  1.0461172e+02
 2.5118870e+03  1.0459134e+02  1.0460446e+02
 2.3713740e+03  1.0458356e+02  1.0459707e+02
 2.2387210e+03  1.0457561e+02  1.0458956e+02
 2.1134890e+03  1.0456748e+02  1.0458190e+02
 1.9952620e+03  1.0455915e+02  1.0457409e+02
 1.8836500e+03  1.0455060e+02  1.0456611e+02
 1.7782790e+03  1.0454181e+02  1.0455796e+02
 1.6788080e+03  1.0453275e+02  1.0454960e+02
 1.5848930e+03  1.0452342e+02  1.0454103e+02
 1.4962350e+03  1.0451376e+02  1.0453223e+02
 1.4125380e+03  1.0450376e+02  1.0452317e+02
 1.3335210e+03  1.0449338e+02  1.0451383e+02
 1.2589290e+03  1.0448258e+02  1.0450415e+02
 1.1885020e+03  1.0447130e+02  1.0449416e+02
 1.1220180e+03  1.0445951e+02  1.0448379e+02
 1.0592540e+03  1.0444715e+02  1.0447297e+02
 1.0000000e+03  1.0443417e+02  1.0446173e+02
 9.4406070e+02  1.0442049e+02  1.0444998e+02
 8.9125300e+02  1.0440599e+02  1.0443766e+02
 8.4139690e+02  1.0439067e+02  1.0442482e+02
 7.9432840e+02  1.0437432e+02  1.0441120e+02
 7.4989420e+02  1.0435700e+02  1.0439680e+02
 7.0794560e+02  1.0433847e+02  1.0438175e+02
 6.6834400e+02  1.0431863e+02  1.0436562e+02
 6.3095730e+02  1.0429734e+02  1.0434837e+02
 5.9566230e+02  1.0427452e+02  1.0432996e+02
 5.6234130e+02  1.0424986e+02  1.0431020e+02
 5.3088430e+02  1.0422335e+02  1.0428895e+02
 5.0118730e+02  1.0419444e+02  1.0426604e+02
 4.7315230e+02  1.0416303e+02  1.0424128e+02
 4.4668470e+02  1.0412889e+02  1.0421445e+02
 4.2169650e+02  1.0409164e+02  1.0418535e+02
 3.9810710e+02  1.0405099e+02  1.0415361e+02
 3.7583910e+02  1.0400655e+02  1.0411896e+02
 3.5481340e+02  1.0395796e+02  1.0408107e+02
 3.3496550e+02  1.0390464e+02  1.0403893e+02
 3.1622780e+02  1.0384614e+02  1.0399391e+02
 2.9853820e+02  1.0378190e+02  1.0394377e+02
 2.8183830e+02  1.0370800e+02  1.0388850e+02
 2.6607250e+02  1.0362995e+02  1.0382581e+02
 2.5118870e+02  1.0354770e+02  1.0376029e+02
 2.3713740e+02  1.0345439e+02  1.0368588e+02
 2.2387270e+02  1.0335108e+02  1.0360358e+02
 2.1134890e+02  1.0323734e+02  1.0351248e+02
 1.9952620e+02  1.0311043e+02  1.0341161e+02
 1.8836580e+02  1.0297471e+02  1.0329991e+02
 1.7782790e+02  1.0282357e+02  1.0317619e+02
 1.6788040e+02  1.0265766e+02  1.0303928e+02
 1.5848930e+02  1.0247568e+02  1.0288777e+02
 1.4962360e+02  1.0227630e+02  1.0272031e+02
 1.4125380e+02  1.0205824e+02  1.0253535e+02
 1.3335210e+02  1.0182010e+02  1.0233134e+02
 1.2589250e+02  1.0156060e+02  1.0210670e+02
 1.1885050e+02  1.0127832e+02  1.0185982e+02
 1.1220210e+02  1.0097200e+02  1.0158910e+02
 1.0592540e+02  1.0064055e+02  1.0129298e+02
 1.0000000e+02  1.0028290e+02  1.0097004e+02
 9.4406090e+01  9.9898287e+01  1.0061899e+02
 8.9125110e+01  9.9486111e+01  1.0023873e+02
 8.4139500e+01  9.9046093e+01  9.9828433e+01
 7.9432820e+01  9.8578308e+01  9.9387639e+01
 7.4989420e+01  9.8083211e+01  9.8916264e+01
 7.0794580e+01  9.7561711e+01  9.8414707e+01
 6.6834400e+01  9.7015180e+01  9.7883872e+01
 6.3095730e+01  9.6445483e+01  9.7325225e+01
 5.9566360e+01  9.5855024e+01  9.6740852e+01
 5.6234130e+01  9.5246577e+01  9.6133314e+01
 5.3088450e+01  9.4623532e+01  9.5505898e+01
 5.0118730e+01  9.3989568e+01  9.4862306e+01
 4.7315120e+01  9.3348707e+01  9.4206706e+01
 4.4668360e+01  9.2705201e+01  9.3543620e+01
 4.2169650e+01  9.2063401e+01  9.2877783e+01
 3.9810720e+01  9.1427651e+01  9.2214014e+01
 3.7583740e+01  9.0802108e+01  9.1557048e+01
 3.5481330e+01  9.0190851e+01  9.0911505e+01
 3.3496540e+01  8.9597380e+01  9.0281500e+01
 3.1622780e+01  8.9024901e+01  8.9670928e+01
 2.9853890e+01  8.8476069e+01  8.9082993e+01
 2.8183830e+01  8.7952962e+01  8.8520310e+01
 2.6607250e+01  8.7457249e+01  8.7985087e+01
 2.5118860e+01  8.6990032e+01  8.7478693e+01
 2.3713740e+01  8.6551998e+01  8.7002353e+01
 2.2387210e+01  8.6143431e+01  8.6556608e+01
 2.1134890e+01  8.5764282e+01  8.6141743e+01
 1.9952620e+01  8.5414362e+01  8.5757703e+01
 1.8836490e+01  8.5093172e+01  8.5404379e+01
 1.7782790e+01  8.4799972e+01  8.5081201e+01
 1.6788040e+01  8.4534019e+01  8.4787765e+01
 1.5848930e+01  8.4294193e+01  8.4523203e+01
 1.4962350e+01  8.4079310e+01  8.4286326e+01
 1.4125410e+01  8.3887831e+01  8.4076010e+01
 1.3335210e+01  8.3718001e+01  8.3890483e+01
 1.2589250e+01  8.3567711e+01  8.3727879e+01
 1.1885020e+01  8.3434871e+01  8.3586013e+01
 1.1220180e+01  8.3316796e+01  8.3462204e+01
 1.0592540e+01  8.3211234e+01  8.3353872e+01
 1.0000000e+01  8.3123057e+01  8.3268635e+01
 8.9125090e+00  8.2951001e+01  8.3105240e+01
 7.9432870e+00  8.2788539e+01  8.2960654e+01
 7.0794640e+00  8.2619824e+01  8.2817459e+01
 6.3095760e+00  8.2432357e+01  8.2662304e+01
 5.6234130e+00  8.2216327e+01  8.2484784e+01
 5.0118720e+00  8.1963137e+01  8.2276514e+01
 4.4668390e+00  8.1664694e+01  8.2029550e+01
 3.9810720e+00  8.1312367e+01  8.1735121e+01
 3.5481360e+00  8.0896737e+01  8.1383653e+01
 3.1622780e+00  8.0408044e+01  8.0964491e+01
 2.8183830e+00  7.9834986e+01  8.0466426e+01
 2.5118880e+00  7.9144710e+01  7.9841692e+01
 2.3713770e+00  7.8773561e+01  7.9508116e+01
 2.2387220e+00  7.8376336e+01  7.9148108e+01
 2.1134890e+00  7.7952494e+01  7.8760773e+01
 1.9952630e+00  7.7501722e+01  7.8345459e+01
 1.8836500e+00  7.7020580e+01  7.7901803e+01
 1.7782790e+00  7.6519511e+01  7.7429852e+01
 1.6788060e+00  7.5988981e+01  7.6929880e+01
 1.5848930e+00  7.5433315e+01  7.6402688e+01
 1.4962360e+00  7.4853739e+01  7.5849499e+01
 1.4125380e+00  7.4251892e+01  7.5271913e+01
 1.3335210e+00  7.3629640e+01  7.4671904e+01
 1.2589270e+00  7.2989060e+01  7.4051818e+01
 1.1885020e+00  7.2332302e+01  7.3414146e+01
 1.1220190e+00  7.1661686e+01  7.2761580e+01
 1.0592540e+00  7.0979283e+01  7.2096817e+01
 1.0000000e+00  7.0287071e+01  7.1422352e+01
 9.4406170e-01  6.9586776e+01  7.0740495e+01
 8.9125100e-01  6.8879621e+01  7.0053143e+01
 8.4139550e-01  6.7992961e+01  6.9127971e+01
 7.9432840e-01  6.7451707e+01  6.8656557e+01
 7.4989420e-01  6.6826467e+01  6.8072696e+01
 7.0794590e-01  6.6187167e+01  6.7479324e+01
 6.6834440e-01  6.5535658e+01  6.6881340e+01
 6.3095770e-01  6.4866363e+01  6.6275884e+01
 5.9566230e-01  6.4169502e+01  6.5653915e+01
 5.6234130e-01  6.3437335e+01  6.5007612e+01
 5.3088460e-01  6.2665595e+01  6.4332151e+01
 5.0118720e-01  6.1847873e+01  6.3620441e+01
 4.7315170e-01  6.0972474e+01  6.2860313e+01
 4.4668370e-01  6.0038476e+01  6.2052068e+01
 4.2169650e-01  5.9058274e+01  6.1211340e+01
 3.9810730e-01  5.8049879e+01  6.0364492e+01
 3.7583740e-01  5.7015997e+01  5.9519679e+01
 3.5481350e-01  5.5926431e+01  5.8646946e+01
 3.3496570e-01  5.4757283e+01  5.7721915e+01
 3.1622790e-01  5.3489407e+01  5.6723554e+01
 2.9853830e-01  5.2104822e+01  5.5633435e+01
 2.8183830e-01  5.0603344e+01  5.4455779e+01
 2.6607250e-01  4.9007314e+01  5.3223978e+01
 2.5118870e-01  4.7317736e+01  5.1946512e+01
 2.3713760e-01  4.5515967e+01  5.0606105e+01
 2.2387220e-01  4.3592441e+01  4.9194295e+01
 2.1134890e-01  4.1238869e+01  4.7315244e+01
 1.9952620e-01  3.7566837e+01  4.1249853e+01
 1.8836490e-01  3.3028461e+01  3.5957028e+01
 1.7782790e-01  2.9394383e+01  3.1714076e+01
 1.6788060e-01  2.6509647e+01  2.8343609e+01
 1.5848930e-01  2.4235613e+01  2.5687286e+01
 1.4962360e-01  2.2449517e+01  2.3604093e+01
 1.4125380e-01  2.1049566e+01  2.1976055e+01
 1.3335210e-01  1.9951667e+01  2.0703366e+01
 1.2589250e-01  1.9085144e+01  1.9706084e+01
 1.1885020e-01  1.8397876e+01  1.8920472e+01
 1.1220180e-01  1.7845716e+01  1.8296065e+01
 1.0592530e-01  1.7395571e+01  1.7792565e+01
 1.0000000e-01  1.7022292e+01  1.7381709e+01
 9.4406090e-02  1.6704752e+01  1.7038204e+01
 8.9125100e-02  1.6428269e+01  1.6744001e+01
