   mDM     x      b             tau           c             q             t             Z            W
   10.     0.01   0.937376      0.986996      0.311973      0.000771717   0             0            0
   10.     0.02   0.967805      0.888455      0.335165      0.000788048   0             0            0
   10.     0.03   0.926576      0.966691      0.296477      0.000660904   0             0            0
   10.     0.04   0.895302      1.01479       0.269984      0.000565311   0             0            0
   10.     0.05   0.873287      1.03844       0.252528      0.000491614   0             0            0
   10.     0.06   0.847206      1.04782       0.238805      0.00043198    0             0            0
   10.     0.07   0.806783      1.04993       0.226504      0.000381441   0             0            0
   10.     0.08   0.7596        1.04978       0.214949      0.000334677   0             0            0
   10.     0.09   0.710479      1.04858       0.203693      0.000291217   0             0            0
   10.     0.1    0.666267      1.03525       0.19554       0.000255209   0             0            0
   10.     0.11   0.620275      1.03028       0.185098      0.000219335   0             0            0
   10.     0.12   0.576492      1.02561       0.174652      0.000187115   0             0            0
   10.     0.13   0.534115      1.02428       0.163528      0.000157698   0             0            0
   10.     0.14   0.500077      1.00287       0.15716       0.000136037   0             0            0
   10.     0.15   0.462184      1.00332       0.14607       0.000113127   0             0            0
   10.     0.16   0.429771      0.991456      0.137838      0             0             0            0
   10.     0.17   0.39838       0.984191      0.128931      0             0             0            0
   10.     0.18   0.366084      0.990566      0.117831      0             0             0            0
   10.     0.19   0.34055       0.974022      0.111223      0             0             0            0
   10.     0.2    0.321993      0.929549      0.109267      0             0             0            0
   10.     0.21   0.303507      0.890647      0.106123      0             0             0            0
   10.     0.22   0.279603      0.889065      0.0974796     0             0             0            0
   10.     0.23   0.251225      0.922506      0.0846163     0             0             0            0
   10.     0.24   0.222273      0.969831      0.071026      0             0             0            0
   10.     0.25   0.198348      0.997369      0.0610481     0             0             0            0
   10.     0.26   0.182207      0.985666      0.056316      0             0             0            0
   10.     0.27   0.173419      0.933922      0.0559546     0             0             0            0
   10.     0.28   0.169212      0.856812      0.0577034     0             0             0            0
   10.     0.29   0.166045      0.776121      0.0592729     0             0             0            0
   10.     0.3    0.162121      0.703118      0.0595983     0             0             0            0
   10.     0.31   0.155442      0.652328      0.0578244     0             0             0            0
   10.     0.32   0.145276      0.629163      0.0537228     0             0             0            0
   10.     0.33   0.132153      0.634515      0.0481223     0             0             0            0
   10.     0.34   0.117073      0.662393      0.0416553     0             0             0            0
