   mDM     x      nu            b             tau           c             q             t             Z             W
   10.     0.01   0.00996403    1.25082       0.940303      0.359351      0             0             0             0
   10.     0.02   0.0102132     1.18469       0.9399        0.340834      0             0             0             0
   10.     0.03   0.0102657     1.12418       0.935095      0.327711      0             0             0             0
   10.     0.04   0.010233      1.06709       0.929676      0.316387      0             0             0             0
   10.     0.05   0.0102386     1.0124        0.924367      0.305913      0.000519165   0             0             0
   10.     0.06   0.0102106     0.961608      0.916385      0.295615      0.000856445   0             0             0
   10.     0.07   0.0101569     0.911179      0.904765      0.284677      0.000651184   0             0             0
   10.     0.08   0.0101265     0.857616      0.892561      0.273057      0.000511665   0             0             0
   10.     0.09   0.0100843     0.80243       0.880607      0.260953      0.000438635   0             0             0
   10.     0.1    0.0100441     0.747545      0.869034      0.248579      0.000385712   0             0             0
   10.     0.11   0.0100043     0.69439       0.857822      0.236083      0.000332988   0             0             0
   10.     0.12   0.00996292    0.643826      0.846944      0.223598      0.000278426   0             0             0
   10.     0.13   0.00992741    0.596245      0.836255      0.211223      0.000225716   0             0             0
   10.     0.14   0.0098785     0.551949      0.825679      0.19907       0.000178811   0             0             0
   10.     0.15   0.00982924    0.510804      0.815135      0.187186      0.000139526   0             0             0
   10.     0.16   0.00978137    0.472775      0.80461       0.17565       0.000108248   0             0             0
   10.     0.17   0.00973585    0.437666      0.794041      0.164483      0             0             0             0
   10.     0.18   0.00969416    0.405267      0.783429      0.153723      0             0             0             0
   10.     0.19   0.00963236    0.375354      0.772763      0.143381      0             0             0             0
   10.     0.2    0.00958864    0.347776      0.762043      0.133493      0             0             0             0
   10.     0.21   0.00953326    0.322261      0.751276      0.124049      0             0             0             0
   10.     0.22   0.00945866    0.298665      0.740476      0.115067      0             0             0             0
   10.     0.23   0.0093993     0.276818      0.72962       0.106542      0             0             0             0
   10.     0.24   0.00935185    0.256531      0.718754      0.0984759     0             0             0             0
   10.     0.25   0.00928806    0.237682      0.707885      0.0908607     0             0             0             0
   10.     0.26   0.00922687    0.220138      0.696988      0.0836817     0             0             0             0
   10.     0.27   0.00916499    0.203784      0.686094      0.0769418     0             0             0             0
   10.     0.28   0.00910281    0.188513      0.675218      0.0706182     0             0             0             0
   10.     0.29   0.00904184    0.174233      0.664352      0.064702      0             0             0             0
   10.     0.3    0.00898558    0.160863      0.653499      0.0591788     0             0             0             0
   10.     0.31   0.00892303    0.148331      0.642691      0.0540269     0             0             0             0
   10.     0.32   0.00886061    0.136594      0.6319        0.0492393     0             0             0             0
   10.     0.33   0.00880035    0.125596      0.621139      0.044798      0             0             0             0
   10.     0.34   0.00873783    0.115276      0.61043       0.0406804     0             0             0             0
   10.     0.35   0.00867822    0.10561       0.599764      0.0368756     0             0             0             0
   10.     0.36   0.00862357    0.0965607     0.589142      0.033365      0             0             0             0
   10.     0.37   0.00856968    0.0880874     0.578562      0.0301309     0             0             0             0
   10.     0.38   0.0085169     0.080179      0.568033      0.0271612     0             0             0             0
   10.     0.39   0.00845794    0.0728052     0.557534      0.0244423     0             0             0             0
   10.     0.4    0.00840219    0.0659263     0.547165      0.0219474     0             0             0             0
   10.     0.41   0.00835573    0.059513      0.536917      0.019662      0             0             0             0
